inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1503710769,490,448,1,1,1,0,8705.7623,2858.0870,67919.5146
391414861,458,419,1,1,0,0,8386.0601,2594.2903,74768.8348
1728555088,501,434,1,1,2,0,8368.6794,2903.9173,75857.5095
2101611878,467,429,1,1,1,0,8211.5027,2512.1498,76217.4183
2025887057,472,438,1,1,0,0,8134.1139,2578.0442,81048.0523
426614199,464,435,1,1,1,0,8182.9372,2639.2314,61122.2428
604496416,488,433,1,1,3,0,8408.9904,2810.3388,70821.6148
1280137116,504,444,1,1,3,0,8258.8091,3148.5658,74056.9720
527489082,462,425,1,1,4,0,8461.9769,2774.0669,77383.6020
720496885,491,428,1,1,0,0,8310.7233,2514.9140,84522.6004
1768035245,465,422,1,1,5,0,8280.0256,2931.8056,69558.8765
891156951,487,437,1,1,2,0,8275.2408,2848.5171,78969.1792
485214123,484,446,1,1,1,0,8711.6269,2736.0828,96179.7916
1872986710,484,429,1,1,1,0,8350.6563,2405.7238,74152.0525
2076280662,461,438,1,1,0,0,8270.5798,2518.0867,71180.0237
15228690,478,426,1,1,0,0,8169.3642,2565.2118,72659.5341
2076296605,495,438,1,1,11,0,8230.2104,3242.8373,78664.7206
1772334398,465,428,1,1,0,0,8308.6631,2554.0342,75569.2604
947434118,492,442,1,1,1,0,8265.8719,2697.4131,63370.9588
394062397,498,448,1,1,7,0,8436.4273,3226.4804,64109.5380
126923938,484,441,1,1,3,0,8220.5084,2819.3292,66102.5280
1250497468,467,434,1,1,0,0,8081.1506,2354.0683,60722.8590
1046393558,483,435,1,1,3,0,8103.6449,2542.3351,81571.8969
326846305,453,425,1,1,0,0,8355.6302,2374.1248,89271.0431
2052899829,493,442,1,1,1,0,8211.2792,2577.1341,77534.8932
1031009072,471,432,1,1,1,0,8158.7753,2395.2932,64732.6699
2094694995,460,431,1,1,2,0,8524.9466,2387.5180,59083.7573
201830459,496,459,1,1,0,0,8082.6785,2400.5911,74610.2349
1059148151,480,435,1,1,0,0,8191.3625,2342.6214,72893.3929
1347750035,505,451,1,1,6,0,8290.3750,2894.7560,77136.4992
1806447382,477,431,1,1,1,0,8130.8370,2566.1121,62917.7277
606205954,467,427,1,1,1,0,8251.7452,2508.9103,81558.5916
1618189379,489,436,1,1,1,0,8344.9175,2690.7413,79625.9301
1301413664,487,443,1,1,1,0,8232.5325,2753.3842,60982.3058
960010933,479,443,1,1,2,0,8154.6508,2371.0938,82451.4206
313083996,476,429,1,1,0,0,8240.8825,2804.9540,63136.6190
353844605,492,424,1,1,8,0,8226.8418,2997.4286,74526.4758
273437889,476,438,1,1,1,0,8225.0837,2607.9914,66147.4610
758297455,482,431,1,1,0,0,8236.7601,2550.2998,70658.6139
188700155,466,430,1,1,0,0,8224.6026,2303.1259,66721.7734
1523453900,494,445,1,1,1,0,8211.6377,2400.1857,60209.7795
591363789,476,436,1,1,3,0,8129.4841,2851.5990,71779.9161
2137589287,487,436,1,1,11,0,8207.7803,3417.9338,63542.9637
149109574,475,425,1,1,1,0,8279.4235,2657.3228,60710.0068
873279188,488,441,1,1,1,0,8277.0951,2559.7992,76261.2987
213903178,498,433,1,1,1,0,8227.4181,2274.1620,73981.2225
1575029507,484,438,1,1,1,0,7955.1679,2297.4722,66727.4548
60344090,475,432,1,1,12,0,8213.5689,3018.6698,65145.4549
684481668,470,431,1,1,2,0,8215.8157,2736.6546,74962.8003
1249415692,471,426,1,1,1,0,8162.6262,2374.6115,64576.1631
929872705,473,437,1,1,1,0,8343.6788,2743.8324,56984.4909
1100679287,489,439,1,1,7,0,8521.1239,3093.8287,76807.4376
2126475407,486,442,1,1,1,0,8261.2579,3204.5565,76031.1570
487803598,493,436,1,1,0,0,8428.5204,2531.8120,79604.2801
228046605,469,433,1,1,0,0,8439.9005,2793.8501,72511.6933
1574359943,476,423,1,1,0,0,8362.4537,2825.5845,64258.1737
1208009660,491,439,1,1,0,0,8315.1381,2837.1358,82434.7627
1453435530,480,441,1,1,1,0,8304.1784,2624.7080,77467.6668
1901129130,496,442,1,1,0,0,8352.8910,2506.8044,67986.8266
1135804846,493,441,1,1,1,0,8246.1173,2447.2364,65623.6926
343974222,482,439,1,1,1,0,8285.1218,2975.6534,67939.4526
929833818,460,421,1,1,0,0,8363.5019,2510.1085,61077.6716
1238180171,508,450,1,1,3,0,11491.0062,2835.6200,59754.3547
1298490444,485,446,1,1,1,0,8401.4671,2538.9232,66386.9691
72330047,466,437,1,1,1,0,8422.8508,2586.8943,72299.8048
1983749595,478,433,1,1,0,0,8310.3595,2584.5910,73984.7595
1549741615,488,432,1,1,1,0,8442.3071,2823.7120,87365.2628
2108623666,490,433,1,1,4,0,8355.9575,2589.5770,76493.4780
642936675,469,448,1,1,2,0,8342.1202,2768.0755,84659.6876
1388748552,482,435,1,1,0,0,8214.3937,2868.5216,74870.8168
1375225135,474,429,1,1,1,0,8234.6556,2465.9915,74466.1551
1232381010,507,441,1,1,5,0,8236.0396,2854.3233,77218.3381
1923847121,471,425,1,1,1,0,8171.6273,2525.7147,84669.6066
1147080819,469,426,1,1,0,0,8377.5887,2700.3454,71376.2539
1799703196,482,434,1,1,1,0,8347.7426,2571.2075,72756.0595
62445559,486,445,1,1,0,0,8383.2799,2786.3352,78415.3751
1573977143,460,425,1,1,0,0,8270.2834,2421.6266,67808.6597
157235314,464,423,1,1,3,0,8339.0911,2574.2491,66564.8603
1713129248,499,437,1,1,2,0,8312.9256,2582.8819,74670.5778
179188147,456,428,1,1,0,0,8256.4876,2929.9016,65033.7865
990088598,478,439,1,1,0,0,8377.9731,2676.9385,74300.8048
120477393,473,437,1,1,0,0,8299.5349,2585.3632,62190.3522
433878195,483,431,1,1,0,0,8358.1081,2398.5930,81210.2815
92019469,484,437,1,1,2,0,8322.6064,2602.4117,72113.0646
1501427867,487,440,1,1,3,0,8148.3743,2890.5571,79217.5704
2035176684,470,423,1,1,3,0,8369.1305,2873.5721,62926.9019
1161682003,483,435,1,1,8,0,8353.1102,3177.0237,67580.9473
791040176,481,436,1,1,1,0,8311.0788,2467.2363,71748.6593
292235410,493,424,1,1,17,0,8330.9554,2770.0789,51915.4858
1127872831,482,440,1,1,3,0,8211.3699,2446.0369,70179.9481
2010377852,494,439,1,1,0,0,8250.5685,2582.5333,56368.1072
828640143,519,442,1,1,11,0,8130.6424,2909.4198,73953.3796
356969290,472,435,1,1,1,0,8248.4563,2609.9518,69196.9801
2089000923,464,422,1,1,1,0,12078.6885,4936.0806,119085.8210
1853395143,474,434,1,1,0,0,8423.3383,2652.4434,77093.0583
1753572161,483,427,1,1,3,0,8394.9970,2913.3640,65459.4262
668919150,485,437,1,1,3,0,8290.3931,2867.9178,62355.5771
1817517462,472,433,1,1,0,0,8421.1137,2520.8902,86296.5583
88033704,512,449,1,1,1,1,8335.3284,2637.3757,63958.9442
1827909610,480,438,1,1,0,0,8352.6859,2321.6000,77138.7862
