inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
459834861,300,213,1,2,3,1,889.1304,601.8341,439659.2680
1027124357,495,212,1,1,1,0,726.8320,548.6635,6699.0002
2049028820,375,214,1,1,3,0,715.7895,607.6763,5702.7659
1321773299,282,208,1,1,1,0,703.4058,550.7411,9569.0606
1703643979,248,187,1,1,1,0,732.9331,553.0352,11941.5026
1300300203,428,185,1,1,2,0,712.1440,583.8618,5391.4102
650965912,262,205,1,1,2,0,717.7142,562.2140,7365.3955
792329348,335,189,2,1,0,0,689.2150,217295.1216,7490.1382
870959569,312,230,1,1,1,0,709.9461,534.4077,5981.0783
1173709030,312,207,1,1,3,0,697.3677,674.6484,5903.2276
1884656349,246,205,1,1,2,0,685.1860,659.9727,6756.6633
1489863927,369,199,1,1,3,0,686.3275,601.1415,4793.9419
544103131,277,208,1,1,3,0,700.5320,567.6286,12357.0199
460800314,311,210,1,1,3,0,689.8220,708.7895,5655.2704
888523830,262,205,1,1,0,0,689.7897,498.7125,4861.9620
1114430918,273,214,1,1,0,0,697.2440,610.8190,5202.6442
580934519,369,218,1,1,1,1,704.7783,615.7767,7348.2039
1769352672,293,222,1,1,10,0,967.1840,781.8215,5838.4590
2106748179,274,222,1,1,0,0,690.8777,529.2030,5467.6169
1253636814,307,222,1,1,1,0,692.7223,629.1226,7328.0027
864914860,347,218,1,1,1,0,708.6175,636.2109,10824.6971
961156482,287,214,1,1,1,0,698.9005,529.9245,12793.4770
959317506,345,206,1,1,0,0,690.9220,507.9889,6200.3893
1090505917,264,217,1,1,0,0,706.1507,626.2944,11325.8868
215589766,326,213,1,1,13,0,704.6704,897.3889,6555.2325
119334228,348,204,1,1,0,0,690.2309,633.5255,6858.2862
1387499987,334,216,1,1,4,0,699.1794,617.0970,5386.8764
852718394,296,207,1,1,3,0,695.0492,654.4802,5448.3582
1967319524,342,206,1,1,3,0,692.9102,581.9886,6808.8473
