inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
201039488,302,280,1,1,1,0,6928.0471,1875.4249,56242.1501
1178222326,292,277,1,1,7,0,6918.2041,2219.6954,49314.9284
628216189,291,279,1,1,0,0,6941.9042,1656.6563,37887.4844
1597358542,303,295,1,1,0,0,6951.4879,1662.7921,57046.3990
1972488571,311,290,1,1,4,0,10362.2902,1990.2205,57267.5233
848872036,300,292,1,1,1,0,6939.0196,1767.6884,44449.0965
1957251927,303,290,1,1,3,0,6908.8412,1885.9625,51845.9553
490550686,287,280,1,1,0,0,6881.1807,1640.1812,43453.5480
105084641,291,285,1,1,1,0,6879.4876,1772.7961,51727.5308
1539349503,276,272,1,1,0,0,6913.5867,1687.1218,39831.8656
1900902684,298,288,1,1,0,1,7004.6508,1783.2537,46197.0778
331519998,295,290,1,1,3,0,6945.4640,1708.3956,51406.5425
15627355,301,288,1,1,0,0,6873.8662,1583.8818,50143.7428
371039153,289,278,1,1,0,0,6887.5183,1602.8154,49252.8497
345067785,310,297,1,1,1,0,6777.0003,1828.3049,45148.0930
2036854485,285,274,1,1,1,0,6777.8440,1670.1835,45270.9386
735964133,293,286,1,1,0,0,6727.5790,1590.3411,53044.5502
1354991870,292,282,1,1,1,0,6588.7762,1661.8285,50068.0767
2064006918,301,288,1,1,1,0,6652.4517,1560.6203,40581.9732
992928080,303,289,1,1,0,0,6913.3091,1660.9512,50260.1364
109067837,294,286,1,1,1,0,7018.1250,1792.4153,53434.5941
1816350865,291,285,1,1,1,0,6987.7567,1854.9893,47346.0905
1001639105,297,289,1,1,1,0,6923.5861,1822.5905,44198.7736
2030117956,291,285,1,1,1,0,6879.9274,1657.0084,43738.7230
380076236,287,281,1,1,3,0,6672.4895,1845.3262,48889.7903
1893330445,287,280,1,1,1,0,6687.9880,1645.7208,44622.0110
102516302,286,277,1,1,1,0,6697.6350,1578.0232,52559.9593
104309195,303,294,1,1,0,0,6802.3172,1726.7987,43148.0499
177146177,302,291,1,1,0,0,6836.9053,1590.8512,44557.4100
1009837770,301,294,1,1,0,0,6868.3126,1625.2214,61103.6253
999328620,298,292,1,1,0,0,6888.5668,1846.4014,50787.4159
2057334927,291,281,1,1,1,0,6736.3729,1811.3041,42323.0723
714866549,296,286,1,1,1,0,6722.6193,1737.1513,50628.0441
1157363270,282,271,1,1,5,0,6712.6067,1887.5968,53117.8732
1873531293,294,282,1,1,0,0,6684.0330,1572.3116,45290.0961
760443195,301,289,1,1,1,0,6782.2637,1615.3579,50108.8923
1960519010,302,289,1,1,0,0,6714.2330,1553.2123,45477.2554
505096343,297,280,1,1,4,0,6963.7197,1827.7107,58303.3860
299209827,301,294,1,1,0,0,6909.6964,1662.6208,43796.3187
1204626870,295,286,1,1,3,0,6875.5469,1792.0045,55306.4233
1610462,305,300,1,1,1,0,6817.4206,1772.5894,58213.6314
51658333,296,287,1,1,1,0,6928.1118,1582.8680,53881.3236
1324249814,303,302,1,1,0,0,6923.3883,1636.8716,51027.0851
33982018,295,284,1,1,2,0,6888.8308,1839.3775,56509.2136
1595758397,301,286,1,1,1,0,10373.9458,1828.5957,42869.7516
346908343,296,280,1,1,0,0,6805.7248,1712.3089,51133.4658
1972779108,299,279,1,1,1,0,6786.4001,1725.9036,45460.1082
1213987146,294,281,1,1,1,0,6901.1976,1755.1517,50066.7729
2067318875,314,291,1,1,3,0,6867.6874,1905.8468,41574.9942
561336533,288,281,1,1,2,0,6932.7426,1736.9451,47803.0328
404377364,295,289,1,1,0,0,6941.3225,1660.1552,55160.0333
473545962,293,287,1,1,1,0,6926.6945,1734.7007,49780.4309
327452671,309,293,1,1,1,0,6826.2478,1637.8905,48235.2865
1827105396,284,285,1,1,0,0,6802.8038,1697.0552,42789.5631
844303792,289,286,1,1,0,0,6870.1888,1552.9394,45750.5567
268320785,291,275,1,1,3,0,6949.4494,1714.8358,54200.5784
1196847123,313,297,1,1,7,0,6640.5507,1844.6698,51884.5213
1028895371,297,290,1,1,1,0,6830.2780,1594.7766,46921.8763
524422369,307,295,1,1,0,0,6748.5082,1654.7896,50762.0588
719664363,296,278,1,1,3,0,6908.9712,1812.1032,43907.9178
975214784,304,286,1,1,3,0,6908.9697,1951.6464,42979.7603
303782921,284,270,1,1,3,0,6923.1677,2065.5093,42984.1032
9578638,297,281,1,1,1,0,6880.9140,1670.4572,43861.5986
253253544,301,278,1,1,2,0,6913.9553,1812.1722,43527.5623
338943197,292,285,1,1,1,0,6845.6604,1714.7968,41736.2015
2048658121,308,289,1,1,0,0,6823.2181,1603.1548,43295.6589
1728539242,277,270,1,1,0,0,6833.5899,1658.2999,48274.7615
714218848,299,277,1,1,1,0,6897.7491,1629.0322,45409.0767
1797182052,304,290,1,1,2,0,6832.7809,1587.8372,45824.1695
1243440700,302,287,1,1,1,0,6869.0122,1620.3843,48654.3052
152074633,326,288,1,1,1,0,6833.5635,1795.2044,51612.0205
284862868,292,283,1,1,0,0,6939.4849,1585.5052,41729.4253
724808429,305,285,1,1,0,0,6932.6754,1760.9522,51329.1112
290459902,317,297,1,1,3,0,6926.5664,2026.9698,48408.1243
568474932,300,292,1,1,5,0,6930.8243,1949.3746,40960.6813
1725001197,300,285,1,1,0,0,6816.7847,1607.3348,48464.3038
1493096851,304,283,1,1,3,0,6874.8300,1717.3245,45412.2606
