inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
144446786,165,161,1,1,0,0,364.3482,444.2124,7192.5284
1611779700,161,160,1,1,0,0,342.0862,439.3302,8621.7193
490044431,166,164,1,1,1,0,355.3591,450.5117,8261.9949
715959493,157,152,1,1,1,0,302.8458,446.1855,7318.9472
994913883,165,164,1,1,0,0,299.8375,443.0919,8742.5639
865018654,175,169,1,1,1,0,299.4785,452.9252,6985.7390
116396321,179,175,1,1,0,0,318.9167,454.0138,8357.2211
1827416939,152,151,1,1,0,0,294.7095,437.0572,8485.8454
183387127,168,167,1,1,0,0,315.1351,514.8113,7037.0860
1596397610,177,170,1,1,3,0,311.4520,524.4460,9008.1049
1745810690,170,167,1,1,0,0,301.2534,441.6068,8086.7382
1282242060,161,155,1,1,1,0,319.3328,481.6640,9449.2500
2109150745,151,152,1,1,0,0,317.2653,446.1843,8461.9407
115514593,158,157,1,1,0,0,302.0401,442.8835,6873.9533
2140689053,154,152,1,1,0,0,324.2661,533.2647,7956.0246
1152689023,159,155,1,1,0,0,303.7564,441.8766,7176.1474
406866278,175,170,1,1,0,0,307.8379,446.6380,8078.3132
1973132783,174,166,1,1,0,0,301.5338,438.1701,7577.9895
2044071853,153,153,1,1,0,0,309.7769,440.2503,7734.9977
1570780106,169,161,1,1,1,0,303.7388,455.6122,6206.7599
789117150,169,166,1,1,0,0,306.1608,438.7367,6409.2225
1740632538,167,167,1,1,0,0,306.6320,515.1685,7038.5834
595223616,160,159,1,1,1,0,311.0153,470.9417,7968.4832
1374014067,159,159,1,1,1,0,305.9442,440.5480,6056.4066
846982577,165,163,1,1,1,0,304.8073,457.6524,7756.9695
1319678632,160,159,1,1,0,0,309.3182,440.7117,5465.7228
1773255533,167,163,1,1,0,0,311.2473,450.9654,7968.2333
216974942,152,147,1,1,0,0,324.1367,442.6356,8568.8911
761999664,171,169,1,1,0,0,328.8053,452.5751,8405.7117
1255834719,161,160,1,1,0,0,307.7669,446.0379,7313.8382
870734720,171,168,1,1,1,0,311.6368,472.7604,7329.5848
1652097810,179,167,1,1,1,0,307.9099,472.5500,7389.1771
1285594598,153,148,1,1,1,0,311.3622,469.7704,6801.5416
1764071306,162,159,1,1,0,0,302.9000,438.7041,6254.7007
1010887650,146,146,1,1,0,0,308.5916,442.0506,7609.2413
232580370,165,156,1,1,1,0,480.6303,463.4483,8728.2788
1708775353,168,166,1,1,0,0,316.2617,441.0754,7964.9410
472916715,174,169,1,1,0,0,311.5317,449.0625,7275.9207
698066101,174,172,1,1,0,0,305.9319,441.7058,7751.4963
478725190,157,157,1,1,0,0,306.6021,438.3012,7274.4309
1058305163,159,157,1,1,0,0,310.4048,445.5343,8663.2199
1171709625,149,149,1,1,0,0,307.6217,444.3258,6308.1742
1038184473,170,162,1,1,0,0,315.5222,444.1796,7852.7577
1798349309,148,142,1,1,0,0,332.0303,439.0389,7092.0255
2024705863,162,160,1,1,0,0,333.5587,442.8123,6632.5796
1188638557,170,164,1,1,0,0,315.6869,448.2093,8208.4182
900712037,180,173,1,1,0,0,304.6787,438.8720,9119.7423
333761941,177,177,1,1,0,0,325.4733,445.1745,7913.2254
1030933332,161,157,1,1,1,0,321.4865,472.6682,6506.6744
874528007,173,167,1,1,2,0,302.6197,577.7009,7656.4243
1769797279,157,156,1,1,0,0,308.5906,439.9127,8340.0230
1163970093,164,161,1,1,0,0,304.5663,445.0514,6858.1534
26503085,168,168,1,1,0,0,303.6987,439.3359,8037.1506
536813558,157,155,1,1,0,0,305.1935,443.3574,9255.3459
39594264,191,187,1,1,0,0,305.4829,446.4739,7476.1272
88224957,172,164,1,1,1,0,311.2345,469.1478,7315.2402
118959346,170,163,1,1,2,0,315.9520,472.1401,8774.6899
1147127155,165,165,1,1,0,0,315.7479,442.6531,8215.1168
625942865,162,162,1,1,0,0,307.9292,451.8036,6803.4804
1959522065,160,157,1,1,0,0,314.7791,451.9410,7642.6341
891435301,158,152,1,1,2,0,313.8928,462.4096,6121.3651
