inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
126827386,272,265,1,1,0,0,255.6952,727.1062,8393.5918
761329787,292,274,1,1,0,0,254.3580,661.8930,9169.4255
558641285,281,271,1,1,0,0,249.8690,643.6223,9730.7427
91639066,316,276,1,1,2,0,239.3894,805.6920,9560.3772
1536643814,281,279,1,1,0,0,245.7677,572.6047,16512.3717
1074241974,274,266,1,1,0,0,241.8244,775.7024,8993.4170
618607571,283,274,1,1,0,0,244.3673,706.1836,8560.1871
645431201,287,267,1,1,0,0,242.3225,624.3516,9092.2091
460216217,271,255,1,1,0,0,238.8174,583.8162,8946.4467
1295136349,297,273,1,1,0,0,240.8701,572.7816,8833.0234
1651955435,296,279,1,1,0,0,244.6683,586.7906,9724.5667
268052889,298,275,1,1,2,0,243.3748,803.8220,9826.8815
514366596,291,277,1,1,0,0,246.9503,633.3683,9786.1542
1581365966,274,264,1,1,1,0,246.0737,706.4020,8217.5324
1920718706,299,280,1,1,0,0,240.4521,646.7076,9237.9679
1284431749,277,265,1,1,0,0,243.9044,712.0349,10436.0600
1187895230,301,266,1,1,0,0,241.5183,660.7411,9207.4162
1690803105,320,299,1,1,1,0,243.9843,586.1214,9061.7608
481316619,305,281,1,1,0,0,244.8242,568.2924,8708.5991
2050784128,285,270,1,1,0,0,249.3094,715.6920,8161.8079
768995891,287,274,1,1,0,0,242.7901,633.6820,8210.6478
2081487829,270,261,1,1,0,0,243.5665,570.0488,8773.0331
1616441113,291,284,1,1,0,0,239.5873,575.7295,8648.5193
700238667,273,271,1,1,0,0,244.4281,636.9846,10413.9549
203605301,275,254,1,1,0,0,244.6761,577.1156,9025.4648
733507883,300,273,1,1,1,0,246.6474,572.6965,8303.9320
480402477,270,263,1,1,0,0,246.0173,696.7072,8716.1170
1737684753,297,288,1,1,0,0,244.4834,584.8788,9711.6879
900231760,292,280,1,1,0,0,237.7924,565.0391,8434.1190
125607226,285,273,1,1,2,0,238.4761,746.3010,13287.4740
370980573,278,275,1,1,0,0,241.6067,589.0111,9566.0845
1071395006,304,280,1,1,0,0,238.7796,644.3720,8921.6378
344742393,274,253,1,1,0,0,236.9990,702.4156,10337.3135
1711471659,287,281,1,1,0,0,237.6911,635.6518,9878.9161
902273373,308,275,1,1,0,0,236.6293,568.5727,10095.5696
2114491297,285,274,1,1,0,0,244.0952,637.4909,9621.1337
1085714994,260,255,1,1,0,0,244.8324,712.3061,8277.2900
653135655,284,277,1,1,0,0,244.1278,712.5857,10426.9403
426392364,278,274,1,1,0,0,250.9024,706.6874,12595.0725
1791441602,277,266,1,1,0,0,252.6568,640.1929,8787.7546
1678038082,297,274,1,1,0,0,252.8603,659.3034,9971.0692
1746839362,292,273,1,1,0,0,257.2267,580.2106,8399.3646
1467420220,277,266,1,1,2,0,263.4347,637.7031,8862.3065
1347499789,270,259,1,1,0,0,244.2558,698.1740,9119.3411
1844009866,275,262,1,1,0,0,249.9070,730.2225,8889.6166
964224227,301,284,1,1,1,0,256.3077,597.5383,10126.5018
1816820874,290,269,1,1,0,0,245.1936,657.3806,9437.8877
112280045,279,265,1,1,0,0,247.3714,708.9696,8854.2721
1636621137,290,278,1,1,2,0,239.2347,606.0047,8260.5508
1728268513,275,268,1,1,0,0,239.8354,591.4315,9401.6416
459530706,278,265,1,1,0,0,244.9982,640.0687,11789.3755
838465176,296,281,1,1,0,1,247.6858,657.1861,8680.4367
1793011860,286,269,1,1,0,0,258.0098,721.1968,9350.0260
1549995791,271,259,1,1,0,0,240.7101,600.7760,9482.3977
1997497355,278,265,1,1,0,0,247.4459,639.9247,9852.3747
1675177671,300,277,1,1,0,0,254.3970,641.3217,8945.9345
1124314649,312,290,1,1,0,0,269.6324,572.3100,9765.6595
740257885,282,268,1,1,0,0,263.6755,583.9380,8294.0986
2018238131,299,278,1,1,0,0,264.7741,640.7271,9177.0122
