inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1855619727,126,107,1,1,0,0,129.7178,222.0445,3652.0302
410353911,109,105,1,1,0,0,125.2130,222.3793,2968.6045
495163209,112,104,1,1,0,0,115.2885,217.9665,2908.2204
965170465,140,115,1,1,1,0,113.9478,224.1556,3244.8829
409536649,115,112,2,1,0,0,110.5214,198334.9333,2800.5647
729140410,119,111,1,1,0,0,118.1676,220.6080,2805.9844
1900497239,125,109,1,1,2,0,115.0235,227.9041,2845.8550
448714133,143,108,1,1,0,0,110.7896,219.3674,2980.0286
1276333978,131,119,1,1,0,0,115.4915,220.5265,2945.2884
1477796737,107,100,1,1,0,0,110.4535,235.1592,2695.2950
582185854,104,92,1,1,0,0,117.7369,220.2907,2886.4150
1451172778,129,123,1,1,0,0,110.3570,228.6673,3001.7929
993011277,148,123,1,1,0,0,109.0462,223.9039,3150.8684
1919049357,121,105,1,1,1,0,115.8389,228.3650,2852.5074
840958186,123,116,1,1,0,0,117.1325,221.3989,3274.4146
2045562195,107,101,1,1,0,0,116.1835,220.9598,2919.5212
2094553,140,124,1,1,0,0,119.5695,220.0175,3194.2823
280919166,133,110,1,1,1,0,124.5094,221.4302,2848.1782
1464875966,109,97,1,1,1,0,126.0425,225.5607,2838.4744
870889029,141,131,1,1,0,0,116.6757,222.3585,4678.9995
1640351285,108,101,1,1,0,0,131.3105,219.1871,2930.1728
961238894,149,124,1,1,0,0,126.9143,223.2818,4200.9308
4938340,109,102,1,1,1,0,118.8952,230.4444,5147.0795
306494845,126,112,1,1,0,0,124.0628,222.6619,2944.3140
881074045,125,102,1,1,0,0,130.4389,221.4990,2782.9594
844826947,126,118,1,1,0,0,127.6628,222.1945,3261.8122
1281234292,113,101,1,1,0,0,123.8318,219.8010,2851.0951
520555991,164,135,1,1,1,0,111.8818,224.7111,3027.1416
266401806,127,118,1,1,0,0,123.1845,221.2879,2975.9570
562450794,130,119,1,1,0,0,118.1792,223.1527,3050.5329
630256308,111,109,1,1,0,0,118.6769,220.5355,2976.6264
1657155324,107,100,1,1,0,0,128.8289,223.4625,2818.3008
1395932050,135,122,1,1,0,0,134.0172,222.7191,2874.5624
448657390,139,121,1,1,0,0,130.6127,224.9792,3127.9124
194276895,137,126,1,1,0,0,119.8191,221.5085,2975.4526
1623245829,125,115,1,1,0,0,118.9131,219.3222,3164.2025
163167001,138,122,1,1,0,0,122.5461,226.3371,4278.3389
640819667,127,110,1,1,0,0,108.7585,231.9540,2992.0503
202667802,121,108,1,1,0,0,111.4267,221.0711,2930.5514
250378079,127,101,1,1,0,0,126.3803,221.6157,2902.9466
284155700,106,95,1,1,0,0,127.4214,227.3395,2828.2372
1139792323,127,117,1,1,0,0,126.3168,221.0802,2946.5361
602171930,119,106,1,1,0,0,129.9403,229.3307,2705.3355
1359325169,137,124,1,1,0,0,116.7032,230.7319,3072.0035
748700315,129,118,1,1,0,0,131.7752,223.0926,2945.8242
1439240236,113,94,1,1,0,0,129.3258,222.4001,2916.0794
1840661763,102,97,1,1,0,0,122.8266,220.4801,2827.8120
1617526643,122,101,1,1,1,0,113.8638,222.1414,2953.6106
974357715,132,112,1,1,1,0,132.1933,232.3384,2742.3264
1207798414,106,103,1,1,0,0,135.2957,221.6108,3421.9451
1809748464,129,111,1,1,0,0,134.8553,222.0191,2783.1384
283092723,140,126,1,1,0,0,138.6787,222.7214,3020.9598
1168803576,96,92,1,1,0,0,128.0801,222.5842,3065.9066
1777773535,114,108,1,1,0,0,132.8952,222.2599,2749.5701
1683845126,122,109,1,1,0,0,132.9620,222.7741,2935.9086
1039885855,129,122,1,1,0,0,131.4403,222.6558,2993.5484
1495017086,128,117,1,1,0,0,135.7685,222.5012,2849.0213
751890186,176,125,1,1,4,0,131.7979,251.5114,3393.8746
2022966873,106,96,1,1,0,0,132.0214,221.1918,2758.2212
1529538889,125,107,1,1,0,0,132.7882,221.0848,2956.6711
343065097,93,91,1,1,0,0,132.4866,223.1188,3181.0200
162327753,129,119,1,1,0,0,130.8849,222.5890,3195.5811
1538420807,134,110,1,1,0,0,132.2004,221.5693,2882.5684
893344168,134,103,1,1,0,0,131.0756,222.0113,3294.8623
1003702740,124,112,1,1,0,0,132.2923,223.4748,2962.1990
1514824138,140,117,1,1,0,0,132.1623,223.2240,2672.0334
1778751556,117,104,1,1,0,0,140.5820,222.4147,2945.9956
1656003688,108,106,1,1,0,0,126.8088,221.8055,2877.5090
1735896736,138,125,1,1,1,0,132.3622,227.7956,2904.2834
1755233975,106,101,1,1,0,0,127.6630,222.3638,2915.3191
1459875880,132,125,1,1,0,0,131.4613,225.0538,2869.5826
331045220,130,112,1,1,0,0,126.2934,223.1090,3160.5811
1632950564,91,88,1,1,0,0,132.9696,221.9615,3430.3564
1919626504,142,125,1,1,0,0,128.1544,223.0649,2738.3829
2000103625,119,114,1,1,0,0,143.6539,241.0590,3407.3830
1324210318,130,121,1,1,0,0,121.8630,224.0337,2759.2326
773101118,130,118,1,1,0,0,134.4707,224.5529,2756.1050
646741364,101,100,1,1,0,0,128.4438,222.4028,2813.1630
1606847906,121,113,1,1,0,0,125.7756,223.9261,2871.6500
111510605,123,101,1,1,0,0,125.5851,222.4440,2839.9945
1683412502,125,118,1,1,0,0,125.9222,222.4473,2778.8461
1004534100,107,99,1,1,0,0,127.8950,221.2049,3166.2331
729637194,136,124,1,1,0,0,133.6317,227.4964,2806.6636
977951389,133,110,1,1,0,0,128.2536,222.8593,3274.0398
1902963503,163,126,1,1,0,0,126.3667,225.6048,2955.5333
2118443425,112,101,1,1,0,0,129.7147,222.8782,2729.3732
41360821,132,123,1,1,0,0,129.1954,222.5257,3103.7841
2135415184,138,127,1,1,0,0,125.3377,224.4855,3022.9798
1050680306,133,109,1,1,1,0,128.4917,235.1507,2751.9719
1640518259,131,117,1,1,0,0,125.4794,223.5685,2886.7863
785760227,109,102,1,1,0,0,131.5256,222.2982,2917.9126
1538321078,117,108,1,1,0,0,134.1213,221.5947,2943.9270
1262070471,118,111,1,1,0,0,133.0057,231.5714,3071.8173
2731092,133,127,1,1,1,0,130.7331,235.8413,3033.6825
1611317663,131,121,1,1,0,0,129.2932,223.3091,2962.4620
1665627191,121,115,1,1,0,0,129.0805,224.0910,2903.9490
302537109,132,126,1,1,0,0,130.4853,223.0116,2978.1859
83227594,123,114,1,3,0,6,131.9319,223.5519,226295.3662
425769593,123,109,1,1,0,0,128.4867,222.8436,2999.4995
1776249662,112,110,1,1,0,0,125.7610,225.7107,3201.3561
1869691976,136,124,1,1,0,0,133.1368,232.5902,3140.2705
1520012949,118,100,1,1,0,0,125.1072,222.8062,3042.5047
1898574178,132,121,1,1,0,0,127.6057,224.7419,2858.5406
1358447673,109,105,1,1,0,0,130.2644,223.3456,3019.8472
1385461585,110,103,1,1,0,0,128.2524,224.2059,2930.1458
205662166,110,106,1,1,0,0,128.2250,224.4719,2661.7332
418859236,138,122,1,1,0,0,132.0081,225.1661,3168.2841
1443550729,101,95,1,1,0,0,123.8603,221.9146,3360.9289
224812354,122,113,1,1,0,0,125.2800,224.4384,3003.7646
1622272880,125,114,1,1,0,0,129.6475,222.9186,5598.4190
331600517,157,121,1,1,0,0,125.4142,223.9579,4653.9732
1043237075,133,115,1,1,0,0,122.9985,231.8955,3055.3526
1056087192,137,126,1,1,0,0,129.0870,231.8342,3055.2979
943361303,136,120,1,1,1,0,124.2150,231.7792,4228.9679
109097643,120,108,1,1,0,0,124.4294,223.4838,3032.8536
1859406496,104,98,1,1,0,0,129.5335,220.8954,2805.3107
401422221,118,112,1,1,0,0,125.2013,222.6785,4009.3890
1374987105,128,119,1,1,0,0,125.0033,228.8850,3010.7320
1546058360,89,83,1,1,0,0,125.4183,227.4909,2777.7018
1639616017,91,84,1,1,0,0,125.2222,230.4786,3021.8384
1433950864,131,117,1,1,4,0,124.1084,232.2966,3077.3182
98939815,133,117,1,1,0,0,129.4296,225.5582,2764.7852
568589138,133,116,1,1,0,0,124.7626,223.9482,2821.8610
71515432,106,101,1,1,0,0,124.4145,225.9208,2774.9357
1944318813,126,118,1,1,0,0,132.2932,232.2782,2805.7881
651464158,124,111,1,1,0,0,125.4260,227.7922,2865.7802
130196564,110,101,1,1,0,0,127.5065,221.6912,3205.0370
1960806537,129,118,1,1,0,0,125.0052,226.2179,2916.2376
1702132289,111,106,1,1,0,0,129.4721,222.9091,2923.8700
1220359296,163,116,1,1,0,0,127.6468,229.0917,3036.6043
632835190,112,108,1,1,0,0,131.2136,222.5942,3021.1316
497014942,137,118,1,1,0,0,126.6870,223.7697,3136.3221
433375962,139,107,1,1,0,0,128.9755,224.3254,2838.6734
158108243,112,102,1,1,0,0,131.9990,220.8456,2736.0316
1725273459,140,119,1,1,0,0,127.4091,223.6301,2944.9736
508138115,146,119,1,1,0,0,129.1331,224.3057,2915.6826
940247102,106,97,1,1,0,0,126.7291,221.5986,3222.8154
498194365,109,103,1,1,0,0,125.7301,221.1077,2856.4809
200870952,122,108,1,1,0,0,129.4729,222.4407,2921.4460
690602477,111,108,1,1,0,0,130.9375,222.8841,3330.4921
1025094928,132,122,1,1,0,0,126.4557,223.2230,2961.7352
1248570662,120,108,1,1,0,0,131.3447,223.4621,2679.6446
1400605661,101,95,1,1,0,0,133.2457,224.3867,2895.9719
1596575303,106,101,1,1,0,0,126.0942,222.1889,3140.3159
1320557478,132,123,1,1,0,0,135.1018,222.2641,2940.2760
25801669,118,102,1,1,0,0,131.0184,225.3031,3019.7781
514933716,121,105,1,1,1,0,124.7056,231.6274,2849.3026
639633769,141,123,1,1,1,0,127.9879,229.0708,2710.2892
1385818326,125,118,1,1,0,0,129.8415,223.0585,2992.8613
1756973926,111,104,1,1,0,0,124.4786,222.5242,3291.7753
1214132369,128,109,1,1,0,0,127.5839,223.5377,2888.7313
1460940833,129,112,1,1,0,0,124.8636,222.1574,2787.4242
35218013,122,111,1,1,0,0,124.9895,224.4815,2715.3310
1190774790,118,110,1,1,0,0,127.4159,222.7988,2998.2277
1953100143,140,119,1,1,0,0,130.5173,225.1813,2958.5674
811512220,127,114,1,1,0,0,125.1183,223.8643,3214.0435
609914679,113,109,1,1,0,0,129.5107,224.1904,3108.6259
997023857,126,101,1,1,0,0,125.4541,223.2560,2720.4495
251759351,122,109,1,1,0,0,129.8555,222.9253,2973.9793
1300490197,135,122,1,1,0,0,134.9402,223.5865,2859.9477
1727558190,126,105,1,1,0,0,125.3121,223.3472,2790.1712
274842427,121,116,1,1,0,0,128.0866,223.2300,3116.0201
951417239,135,113,1,1,1,0,130.3044,242.8761,3084.8692
1421654007,111,104,1,1,0,0,128.1952,221.7771,3166.3396
754708614,131,109,1,1,0,0,130.2170,224.5585,3023.0850
185022145,130,115,1,1,0,0,134.4613,226.8740,3029.7059
1246217468,136,111,1,1,0,0,128.1942,224.8876,4135.4805
237014445,109,99,1,1,4,0,130.3164,227.7800,2710.7367
1890537262,132,123,1,1,0,0,133.0705,225.9427,3171.5447
345186772,109,101,1,1,0,0,128.2762,225.2787,2790.5601
2042070801,134,121,1,1,0,0,129.7977,241.9444,4105.5383
103904839,117,114,1,1,0,0,132.7836,224.6680,3283.1846
1377908446,128,118,1,1,0,0,127.2132,224.9121,3003.5511
531762536,117,104,1,1,0,0,130.2782,222.6340,2710.7833
1512382639,124,118,1,1,0,0,134.0257,221.7383,3268.2858
1555935313,134,127,1,1,0,0,127.0939,224.3010,3273.0423
1332626369,149,112,1,1,0,0,127.4319,228.2517,2875.2146
462816827,116,107,1,1,0,0,130.1152,225.5417,2972.0175
1312355044,129,117,1,1,1,0,125.6996,234.6568,2950.7009
307345376,120,104,1,1,0,0,129.5412,225.6058,3024.5790
2006322471,117,105,1,1,3,0,131.2321,249.2171,2809.5692
1705181913,136,120,1,1,1,0,125.9938,227.2008,3344.9657
1011171487,129,105,1,1,0,0,128.3271,223.0262,2962.3602
483377371,119,112,1,1,0,0,128.9061,223.5407,2848.1276
1791374180,116,113,1,1,1,0,127.2392,235.7800,2775.6154
961182657,117,105,1,1,0,0,124.2350,223.6211,2799.1157
1096256083,130,119,1,1,0,0,126.8741,223.6593,2926.3098
1223954755,100,98,1,1,0,0,130.9869,223.0925,2834.3099
1048941820,117,99,1,1,0,0,125.5786,223.1145,2820.8696
1859515661,143,118,1,1,0,0,130.0549,225.3874,3055.2976
1711075788,126,121,1,1,0,0,124.4763,223.0038,2908.4419
1240324579,156,120,1,1,0,0,128.5236,224.1960,3369.4656
951470507,114,105,1,1,0,0,132.9910,226.1373,2960.9705
873787729,139,130,1,1,0,0,127.1732,223.2449,3265.4134
1554517693,136,129,1,1,1,0,131.2894,231.7477,2951.8179
1714232173,139,128,1,1,0,0,131.3672,223.6554,3138.0575
847458189,135,123,1,1,0,0,129.8697,226.8332,3315.8349
157298853,131,118,1,1,1,0,127.7410,224.6257,3132.6727
1727154889,132,111,1,1,0,0,129.5308,223.7011,2841.2387
1553623902,110,99,1,1,0,0,129.7398,257.1695,2756.8247
