inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1855619727,109,107,1,1,0,0,123.9926,271.8723,2917.1822
410353911,110,104,1,1,1,0,129.5916,280.2065,2937.0018
495163209,105,103,1,1,0,0,126.8797,270.9772,3283.8933
965170465,119,118,1,1,0,0,107.6102,272.6367,2912.0626
409536649,119,116,1,1,0,0,105.3118,274.5549,2804.1732
729140410,108,107,1,1,0,0,112.3508,277.6707,2922.3757
1900497239,112,106,1,1,0,0,130.5930,272.7297,2755.2429
448714133,114,112,1,1,0,0,121.4503,274.5896,5154.8683
1276333978,117,116,1,1,0,0,118.8706,272.0249,2943.9768
1477796737,108,108,1,1,0,0,126.3769,274.0896,3261.6233
582185854,112,111,1,1,0,0,129.2333,276.7086,4551.1139
1451172778,102,102,1,1,0,0,118.0507,273.4229,2930.7855
993011277,114,112,1,1,1,0,128.0467,282.6871,3247.5990
1919049357,103,103,1,1,0,0,121.7102,271.1649,4366.8084
840958186,97,96,1,1,0,0,123.8825,272.2118,2939.2241
2045562195,123,113,1,1,0,0,114.9000,278.3957,2996.3751
2094553,119,109,1,1,1,0,122.5486,285.4478,3425.2392
280919166,123,116,1,1,0,0,114.6546,280.0058,3034.3672
1464875966,105,106,1,1,0,0,111.3077,273.3440,3046.7179
870889029,110,106,1,1,0,0,113.0280,271.8571,5301.9738
1640351285,113,113,1,1,0,0,108.7432,271.4455,2894.2464
961238894,110,109,1,1,0,0,110.7475,272.0700,3053.1217
4938340,122,120,1,1,0,0,111.5741,274.0638,4339.5438
306494845,120,114,1,1,0,0,115.2022,274.0621,2980.9769
881074045,113,110,1,1,0,0,113.5043,280.5552,3088.8576
844826947,108,104,1,1,1,0,111.4845,273.6639,2929.4304
1281234292,118,115,1,1,0,0,105.3610,272.7904,4778.4554
520555991,111,112,1,1,0,0,105.0007,271.4545,3046.1279
266401806,110,106,3,1,0,0,105.4022,312808.6287,2905.5522
562450794,101,99,1,1,0,0,111.3255,272.7680,3443.7872
630256308,128,118,1,1,0,0,121.2879,272.2020,2955.4822
1657155324,125,117,1,1,0,0,113.4893,273.3204,5322.9386
1395932050,109,105,1,1,0,0,112.7919,276.5402,5404.9860
448657390,105,103,1,1,0,0,114.5295,271.2740,2922.5776
194276895,108,107,1,1,0,0,109.9641,272.4391,2727.0335
1623245829,113,109,1,1,0,0,119.4005,271.4547,2804.6915
163167001,119,118,1,1,0,0,118.1008,272.0819,6065.1336
640819667,110,110,1,1,0,0,121.0568,274.4496,5703.8405
202667802,124,122,1,1,0,0,105.4522,272.7426,4738.3008
250378079,114,113,1,1,0,0,110.1662,278.1829,3221.6443
284155700,108,106,1,1,0,0,114.9411,272.9339,3128.7850
1139792323,104,103,1,1,0,0,118.2691,274.3582,3336.1261
602171930,101,101,1,1,0,0,112.5282,276.3799,3060.4840
1359325169,119,119,1,1,0,0,124.9789,273.3773,3239.0463
748700315,118,113,1,1,1,0,125.2952,289.1108,2930.2597
1439240236,116,112,1,1,0,0,114.9306,275.2876,5355.9435
1840661763,102,102,1,1,0,0,117.9085,272.4952,3236.2134
1617526643,107,107,1,1,0,0,112.5955,288.6240,2764.5462
974357715,99,97,1,1,0,0,111.2234,272.2731,2797.8851
1207798414,121,120,1,1,0,0,115.6372,277.0144,4712.1860
1809748464,113,112,1,1,0,0,110.7450,274.3401,3066.0267
283092723,134,129,1,1,0,0,114.9910,275.2660,3371.5457
1168803576,101,99,1,1,0,0,115.0573,272.7324,3122.0944
1777773535,116,112,1,1,3,0,110.8286,296.1048,5225.9225
