inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
762915432,234,231,1,1,0,0,179.3921,275.5283,10385.1757
906154881,231,225,1,1,0,0,166.7687,430.3658,5605.1889
280506926,226,210,1,1,0,0,162.9182,354.8326,4331.4751
194179708,237,222,1,1,0,0,165.3340,297.4830,5142.3226
1551510031,217,210,1,1,0,0,160.9693,273.8526,5466.3675
2102856812,207,203,1,1,0,0,174.5498,272.7275,4865.2235
2081497663,218,214,1,1,0,0,165.8658,343.7928,4861.9582
1017158859,228,217,1,1,0,0,172.4554,271.9320,9526.2709
1733165235,228,219,1,1,0,0,172.0063,279.3900,4748.5068
155783824,194,191,1,1,0,0,160.9234,276.8068,5007.4495
335991080,240,220,1,1,0,0,175.9986,272.8170,5265.8163
1005385783,227,222,1,1,0,0,161.9234,283.1293,8277.5708
1278418197,236,227,1,1,0,0,171.6391,357.3407,5103.9745
1978490571,224,215,1,1,0,0,169.9502,283.3129,4745.5233
1163132064,213,211,1,1,0,0,167.7546,347.3369,5259.6530
620926769,202,190,1,1,0,0,170.7038,272.6508,4246.3746
1152743338,218,214,1,1,0,0,169.8050,359.1276,5355.3414
993568449,239,222,1,1,0,0,170.1821,350.6361,7057.8329
1252466327,213,210,1,1,0,0,170.3446,282.2334,4868.9607
343029257,197,194,1,1,0,0,172.7857,280.9688,4613.4743
584483510,232,217,1,1,2,0,174.4187,368.8055,6752.9365
787658428,227,206,1,1,0,0,178.1723,280.8538,8577.6210
2084267577,216,213,1,1,0,0,179.1254,357.0233,6561.1706
2068669650,240,228,1,1,0,0,174.8920,283.3768,8762.9349
305553111,221,212,1,1,0,0,150.6731,357.0310,4693.7320
908889753,230,222,1,1,0,0,154.8240,288.9230,5328.9058
1637698268,231,214,1,1,0,0,162.2410,282.2849,10046.9445
1479573931,220,205,1,1,1,0,162.2542,285.2817,8097.9732
1609640597,258,218,1,1,1,0,159.3994,299.6115,5657.6638
605960773,212,209,1,1,0,0,153.3902,283.8102,5066.3494
725797547,221,211,1,1,0,0,149.7645,273.9526,7892.9760
2095941425,240,223,1,1,1,0,174.2007,289.9414,5389.6097
1246163651,237,229,1,1,0,0,172.9882,276.7519,5115.5564
408809084,208,204,1,1,0,0,173.2861,274.0659,5227.8799
2145843325,236,228,1,1,0,0,177.1860,273.1161,5550.9392
718568438,210,208,1,1,0,0,178.6790,342.6085,5572.1221
603255607,217,210,1,1,0,0,177.8888,284.3574,4916.0279
89077198,213,205,1,1,0,0,171.9189,349.2040,4406.4266
838460419,236,218,1,1,0,0,170.3927,277.8163,5083.5250
2045264535,222,217,1,1,0,0,168.7678,282.4501,7615.5073
2085234693,226,212,1,1,0,0,169.7749,274.5014,5216.0076
408717708,235,220,1,1,0,0,157.8400,362.1999,7289.3237
1005168316,236,214,1,1,0,0,156.1786,276.3920,4452.8944
939697390,221,211,1,1,0,0,149.0905,344.5285,4531.7967
1862246958,223,206,1,1,0,0,169.8446,347.9222,4878.0398
1795153853,214,207,1,1,0,0,176.6269,420.1933,5265.8673
349139492,223,214,1,1,0,0,165.5265,290.3585,9728.6229
1062209054,219,216,1,1,0,0,157.2022,271.1520,4388.2924
615133158,228,216,1,1,0,0,162.7016,346.4432,4886.6687
1980876245,201,198,1,1,0,0,165.0869,279.4627,9452.6205
1879001733,244,228,1,1,0,0,166.5019,290.5474,5113.8540
1391457015,225,221,1,1,0,0,169.0612,276.6001,7185.3343
2067516977,227,216,1,1,0,0,168.6588,284.3724,4145.3034
55733823,244,228,1,1,0,0,170.4396,283.2652,10290.1436
523711179,215,212,1,1,0,0,169.6567,274.7139,5626.4292
926259585,233,223,1,1,0,0,170.6960,418.8236,5209.6449
366875716,260,227,1,1,1,0,170.0873,367.0523,7499.8105
2071788428,234,213,1,1,0,0,170.9923,414.2641,4302.8027
1324245408,223,212,1,1,0,0,169.1986,346.0968,4674.5118
736570995,259,245,1,1,0,0,168.7854,359.7886,5786.3670
826758183,237,223,1,1,0,0,168.1180,365.4370,6399.7244
1963162736,227,212,1,1,0,0,168.5065,284.0600,6105.1072
390486595,243,225,1,1,0,0,166.9522,346.0622,4807.3911
381495527,217,216,1,1,0,0,167.8744,286.0010,8080.7580
748877038,215,213,1,1,0,0,167.5346,415.5510,4485.7001
1699388283,240,227,1,1,0,0,168.8808,345.5090,5255.3218
2118413490,223,217,1,1,0,0,167.9228,276.5412,4407.8902
366394066,203,199,1,1,1,0,168.4189,279.4133,7673.4970
1045818243,198,190,1,1,0,0,167.9273,307.7768,7641.5303
142413518,250,220,1,1,0,0,171.4791,346.2278,5051.6150
1207885855,259,227,1,1,1,0,172.1275,368.5214,8629.3489
1391078983,246,225,1,1,0,0,171.3561,286.4615,4961.6350
243970356,224,210,1,1,0,0,171.7350,345.5581,5385.3225
2008191224,232,222,1,1,0,0,171.4384,301.1754,10045.8473
1629063731,212,209,1,1,0,0,177.6160,281.9387,4716.0891
678002147,235,216,1,1,0,0,179.0034,426.1325,4831.9068
843240629,232,218,1,1,0,0,179.1549,275.3896,4757.8146
2063896262,191,189,1,1,0,0,181.3974,300.5715,4959.9174
1351188588,216,216,1,1,0,0,182.3202,284.9298,4887.8904
1653935096,246,224,1,1,0,0,178.7036,347.4337,4875.5574
1030034979,232,222,1,1,0,0,179.9155,352.8320,4921.5206
364833998,223,214,1,1,0,0,177.2203,345.7032,8325.3155
545683251,224,216,1,1,0,0,177.4310,277.6214,4932.2532
522624218,238,229,1,1,0,0,177.3286,294.8062,11013.3922
1734172201,242,234,1,1,0,0,180.3464,280.8633,5469.3608
1198347773,230,219,1,1,0,0,180.9693,349.1564,4497.4820
1367551166,221,205,1,1,0,0,170.9834,355.1225,9154.6058
1816764609,226,209,1,1,1,0,170.8490,302.1305,7765.9425
1886555572,228,216,1,1,0,0,170.2404,276.2933,4531.7836
2006167446,228,219,1,1,0,0,170.7962,292.5588,8872.9972
1796573057,240,231,1,1,0,0,180.5133,282.9326,4996.3428
812463620,243,225,1,1,0,0,180.1941,355.2537,4686.2148
148279940,228,222,1,1,0,0,178.8398,287.5107,5177.0433
94316096,226,224,1,1,0,0,180.8407,273.9920,9534.1444
856014847,202,200,1,1,0,0,179.2498,346.7474,5131.7870
811157079,246,214,1,1,0,0,170.8533,284.5197,4666.3128
880236837,213,209,1,1,0,0,170.8323,287.0631,4957.7841
1387896192,230,225,1,1,0,1,172.2535,292.0503,4942.9544
1613209999,191,193,1,1,0,1,170.4344,352.0342,7821.4945
2091123672,200,195,1,1,0,0,170.2371,274.6465,4918.2430
1071809632,230,222,1,1,0,0,171.8354,283.8610,4681.1106
549673455,209,204,1,1,0,0,170.0837,281.8632,6647.6065
930462095,202,197,1,1,0,0,177.9889,285.5662,8180.6243
141358911,227,222,1,1,0,0,180.5706,276.5270,4895.7182
1842230301,210,200,1,1,0,0,180.3518,280.7976,6514.2076
2037809406,221,220,1,1,0,0,178.9322,348.3567,7890.0956
1980395924,230,216,1,1,0,0,178.8028,284.2236,4548.8962
1373810488,232,217,1,1,1,0,180.5665,297.3961,5478.9537
48948695,216,212,1,1,0,0,180.6311,295.5713,8110.0071
238499717,234,217,1,1,3,0,182.4588,377.0658,5038.1037
970612597,205,191,1,1,0,0,179.7339,283.2640,4532.6422
540906427,210,200,1,1,0,0,180.1531,293.7137,7320.9249
524372645,235,216,1,1,0,0,180.3115,419.2284,8834.4046
47848951,252,228,1,1,0,0,177.7460,278.9661,4877.8231
560568209,212,206,1,1,0,0,179.6239,361.3740,4801.8414
1552009538,214,205,1,1,0,0,181.2221,353.9744,5376.3056
1632885214,220,207,1,1,0,0,179.6216,349.3680,5097.1536
1618046501,231,213,1,1,0,0,180.1311,352.3664,5286.8627
1750777633,221,218,1,1,0,0,180.5241,285.0024,4417.0110
1292237177,239,217,1,1,0,0,181.0424,356.7314,5044.1947
1056779383,217,209,1,1,0,0,180.3770,346.6768,6003.1177
244550641,224,215,1,1,0,0,172.6414,278.4519,5524.8312
863626010,217,210,1,1,0,0,169.5655,280.3627,5686.3166
1206365063,214,209,1,1,0,0,171.5960,354.7364,4706.7370
123219927,228,224,1,1,0,0,172.5683,286.0823,4899.6478
1261112378,241,231,1,1,0,0,171.0831,285.0484,4563.6076
2087158136,218,209,1,1,0,0,170.8108,280.3097,4887.1731
1801147494,226,221,1,1,0,0,170.7567,362.1186,4848.8779
701351108,242,231,1,1,0,0,172.5612,347.1283,5626.1787
905034874,219,217,1,1,0,0,171.8421,302.4003,4632.1815
1681553577,239,232,1,1,0,0,151.3067,290.5503,5580.1162
1776224575,225,218,1,1,0,0,147.3775,349.8200,6820.1582
1277261520,223,218,1,1,0,0,147.5301,284.2682,5578.2397
1764102102,222,217,1,1,1,0,147.8267,285.2491,8243.9311
285397798,240,214,1,1,0,0,148.3234,287.3627,4082.7261
683672742,208,207,1,1,0,0,148.1183,277.2502,5301.7479
158463288,215,205,1,1,1,0,148.0508,428.0983,5022.4578
1460363435,221,207,1,1,0,0,151.6547,301.2529,4460.0227
282788049,214,209,1,1,0,0,148.0422,362.9866,4765.3734
628298799,254,212,1,1,0,0,155.7575,365.8710,5764.0474
1770002436,225,212,1,1,0,0,155.4802,437.9500,5850.6156
1747144218,254,222,1,1,2,0,156.4432,286.6559,9639.3736
918609148,230,224,1,1,0,0,154.9174,345.1185,8402.8333
120207061,225,224,1,1,0,0,156.3514,355.1324,9989.0459
815139129,246,214,1,1,0,0,156.1055,357.2922,7527.4820
771541797,229,207,1,1,0,0,154.7290,278.3896,4625.4348
1763953845,215,204,1,1,1,0,148.5191,432.1382,7642.3220
1051398870,239,230,1,1,1,0,146.1516,280.1981,4466.2267
2095340209,211,209,1,1,0,0,148.9980,288.2518,4886.1613
253566374,236,208,1,1,0,0,149.5100,426.1133,5031.2975
13092343,227,211,1,1,2,0,149.5996,297.1700,9122.5679
1429382656,235,218,1,1,0,1,148.0794,279.4686,5132.6921
1521238857,202,197,1,1,0,0,148.4185,284.9550,5560.9820
2073064086,221,211,1,1,0,0,147.7692,347.5976,6465.1440
158295267,220,214,1,1,0,0,147.3524,287.2326,8609.9327
1952343174,228,220,1,1,0,0,148.0962,293.4807,4688.8721
314520746,234,227,1,1,0,0,147.1968,347.7878,4385.9332
702165619,215,209,1,1,0,0,150.6971,285.5799,4569.1368
62627366,251,237,1,1,0,0,157.7339,289.0968,4727.7976
776680128,235,223,1,1,0,0,157.2860,286.0133,4926.4800
5195162,214,215,1,1,0,0,155.6257,295.3550,7397.2928
1429710878,236,220,1,1,0,0,160.8242,363.1145,5035.5511
1689035633,249,227,1,1,0,0,156.3318,296.8027,6914.5619
1379157903,252,228,1,1,1,0,156.6239,298.7333,5632.8858
187171941,232,220,1,1,0,0,158.9495,300.1676,4896.9747
766233709,221,211,1,1,0,0,157.1949,417.0577,4495.7207
596785273,213,208,1,1,0,0,159.3495,357.1337,9295.7218
845439131,211,208,1,1,0,0,155.7469,427.2055,7895.7312
1915467258,227,219,1,1,0,0,156.8387,292.6794,5205.7121
1122267857,217,219,1,1,0,0,161.3161,286.5142,9033.9285
230367875,209,204,1,1,0,0,151.0553,291.3580,4640.2583
511008963,238,232,1,1,0,0,156.0052,278.5159,4566.7421
1056016844,220,201,1,1,1,0,149.7796,299.4241,4996.9328
1017378750,233,224,1,1,1,0,150.3380,285.3702,9047.0672
844240873,203,199,1,1,0,0,149.3097,349.1824,7187.1564
1154393992,243,231,1,1,0,0,159.4349,356.1537,5137.9880
1272550365,214,212,1,1,0,0,162.1845,291.3805,7128.2923
274361372,225,212,1,1,0,0,158.9758,285.8402,8065.8449
882556532,245,239,1,1,0,0,156.9340,276.7968,6938.6829
1995766142,261,241,1,1,1,0,157.9907,288.4027,4428.1993
590275642,221,215,1,1,0,0,158.5121,277.6570,4574.2938
1970334426,227,220,1,1,1,0,160.4814,365.5179,5162.7062
976079868,223,217,1,1,0,0,156.6426,276.2039,5358.0221
591473305,235,229,1,1,1,0,159.3259,284.0632,4920.8233
468337566,224,222,1,1,0,0,157.3706,282.3041,5478.9838
133221733,226,213,1,1,0,0,160.2448,345.9281,7294.5359
1455433143,221,216,1,1,0,0,159.1566,284.8962,5001.8167
1290001935,215,209,1,1,0,0,157.1968,284.1046,5631.8177
50168768,246,231,1,1,0,0,155.5500,353.8112,4678.1288
1180276008,226,210,1,1,0,0,159.1849,287.4710,8057.7977
315084016,225,213,1,1,1,0,162.7487,354.5293,5215.3465
1592284712,208,207,1,1,0,0,161.3179,287.7517,5435.2771
1939459800,256,232,1,1,2,0,157.0336,372.5046,4784.8812
2026661825,227,211,1,1,0,0,159.2683,290.9808,5084.6548
1827760535,249,218,1,1,0,0,157.6699,348.3831,5167.9250
1785191825,226,223,1,1,0,0,158.6709,349.0991,6846.1897
1882351731,221,217,1,1,0,0,157.2914,301.7178,5603.0333
