inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
762915432,238,221,1,1,0,0,294.5028,495.2919,10658.9875
906154881,217,201,1,1,0,0,283.2434,582.1192,9140.3417
280506926,222,209,1,1,0,0,295.4342,595.3105,7469.5604
194179708,209,209,1,1,0,0,253.5719,534.8180,6445.2715
1551510031,211,207,1,1,0,0,274.4222,503.0123,11470.1842
2102856812,212,200,1,1,0,0,282.5846,494.4349,6682.0546
2081497663,220,209,1,1,1,0,277.1426,521.4687,9860.9616
1017158859,188,186,1,1,0,0,273.1502,579.5499,6877.3088
1733165235,228,211,1,1,4,0,272.1372,716.3835,7352.7558
155783824,205,203,1,1,0,0,280.3490,588.6859,12454.4160
335991080,198,195,1,1,0,0,277.1924,490.4908,7669.6744
1005385783,210,206,1,1,0,0,332.1933,496.9444,7328.0636
1278418197,219,218,1,1,0,0,335.0233,590.0035,10474.2184
1978490571,215,204,1,1,0,0,325.4571,517.4322,9210.6066
1163132064,194,192,1,1,0,0,308.3183,495.2146,9062.9065
620926769,207,202,1,1,0,0,320.6211,577.4356,6338.8105
1152743338,213,198,1,1,0,0,292.9269,591.2911,9532.9274
993568449,196,195,1,1,0,0,249.6261,496.4043,11139.3111
1252466327,194,189,1,1,0,0,338.7742,504.4331,8392.3594
343029257,198,188,1,1,0,0,314.5725,679.5142,8493.0316
584483510,226,211,1,1,0,0,378.6370,587.2033,7650.1108
787658428,218,211,1,1,0,0,371.6816,511.3193,11206.7412
2084267577,198,197,1,1,0,0,372.5902,502.7189,8972.6161
2068669650,203,197,1,1,0,0,350.6220,759.6884,8837.4000
498515734,203,195,1,1,0,0,326.8095,510.7931,8819.3346
305553111,186,185,1,1,0,0,338.2349,530.9845,9466.2247
908889753,193,193,1,1,0,0,295.9965,618.5667,9596.4102
1637698268,222,215,1,2,0,1,322.1435,597.5650,420516.0880
1479573931,224,212,1,1,0,0,271.0874,511.5687,6894.0049
1609640597,224,210,1,1,0,0,341.8318,582.6164,8152.9523
605960773,213,198,1,1,0,0,359.4920,513.9884,9151.5771
725797547,215,208,1,1,0,0,364.1785,512.1756,12055.7692
2095941425,184,184,1,1,0,0,357.5054,519.7749,8434.6130
1246163651,209,196,1,1,0,0,308.1814,501.5904,7255.8213
408809084,207,208,1,1,0,0,303.2312,507.2955,9753.1134
2145843325,204,202,1,1,0,0,270.9144,514.2873,9300.3076
718568438,209,205,1,1,0,0,282.3576,503.9769,6960.5185
603255607,209,205,1,1,0,0,283.2381,509.0727,8692.4502
89077198,214,203,1,1,0,0,295.2050,515.9020,9370.3811
838460419,210,202,1,1,1,0,279.6531,508.5244,6676.1268
2045264535,195,190,1,1,0,0,296.3267,524.9021,9314.7088
2085234693,215,208,1,1,0,0,274.8918,586.1883,9367.0370
408717708,218,209,1,1,0,0,288.0614,507.9872,7835.9038
1005168316,206,205,1,1,0,0,292.3773,679.0183,9532.8813
939697390,192,192,1,1,0,0,277.2723,494.9206,6915.2924
1862246958,206,204,1,1,0,0,274.0390,526.2638,9295.4405
1795153853,220,205,1,1,0,0,279.8475,525.8251,8575.6240
349139492,211,201,1,1,1,0,290.1681,497.5637,8173.6039
1062209054,226,211,1,1,0,0,310.7184,599.3123,6459.2523
615133158,218,211,1,1,0,0,305.7564,492.6012,7888.7589
1980876245,200,193,1,1,0,0,281.5915,512.7697,14081.9148
1879001733,201,200,1,1,0,0,340.7534,605.0386,6954.6061
1391457015,204,202,1,1,0,0,332.4027,515.2339,7467.7941
2067516977,214,212,1,1,0,0,297.0714,611.3668,11249.6185
55733823,202,200,1,1,0,0,334.8150,505.1526,7323.8400
523711179,212,199,1,1,0,0,327.1180,579.4836,9977.8611
926259585,213,201,1,1,0,0,324.9166,510.7783,6501.6904
366875716,211,198,1,1,0,0,322.6607,529.4271,8920.9689
2071788428,211,202,1,1,0,0,308.6486,592.0591,9168.6688
1324245408,221,210,1,1,0,0,312.6179,597.7584,9651.1429
736570995,215,211,1,1,1,0,330.2758,594.1325,11692.7302
826758183,208,203,1,1,0,0,321.3818,515.2959,7762.9735
1963162736,214,208,1,1,0,0,311.3056,578.8760,5802.7564
390486595,203,200,1,1,0,0,320.2921,514.0896,6251.2431
381495527,211,204,1,1,0,0,318.1349,607.6898,6979.5870
748877038,219,208,1,1,0,0,317.1480,520.3912,8285.3816
1699388283,205,200,1,1,0,0,320.1825,512.6027,11212.2423
2118413490,202,196,1,1,1,0,317.0144,509.8305,9336.4338
366394066,237,211,1,1,0,0,340.4488,514.1305,9869.9079
1045818243,212,201,1,1,0,0,319.2410,526.2563,6403.1773
142413518,194,192,1,1,1,0,311.7346,497.2829,10024.3519
