inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1514395415,267,248,1,1,0,0,673.4088,471.1995,16352.9773
397023230,254,252,1,1,0,0,530.6682,547.6018,15744.2381
854130406,257,253,1,1,0,0,626.0864,638.3738,19360.6834
148989325,260,241,1,1,0,0,586.0343,557.5667,18934.2090
1318383646,245,245,1,1,0,0,597.9307,485.5065,17864.4952
906795881,257,243,1,1,1,0,613.3997,483.6562,17914.3513
1915830520,276,265,1,1,0,0,781.6977,474.1588,15807.3908
1141257445,254,243,1,1,0,0,758.5338,502.3682,14279.1002
549110509,263,251,1,1,0,0,738.3564,581.2060,15424.6333
409145137,260,251,1,1,0,0,713.2823,663.1127,15359.8993
2062834378,259,247,1,1,2,0,712.7667,516.3262,17844.0496
926764504,258,252,1,1,0,0,715.3451,494.9447,16091.4658
1117457343,266,256,1,1,0,0,724.6127,461.5520,16371.1553
1072700100,267,263,1,1,1,0,607.9412,504.6888,14667.8577
1626410660,253,239,1,1,0,0,610.2333,633.2864,20127.9718
129387931,244,240,1,1,0,0,712.5536,464.8206,14329.6102
720332998,280,249,1,1,1,0,621.8139,591.2843,15181.4896
1193133229,244,238,1,1,0,0,617.7933,477.3977,17936.7942
1551289679,252,243,1,1,2,0,615.0450,506.5881,14482.6204
1989617051,260,253,1,1,0,0,627.1649,559.2562,11897.6235
654166279,261,246,1,1,2,0,651.0395,577.9613,13604.9203
546085108,265,250,1,1,1,0,641.2679,468.9725,16397.5521
720759630,268,242,1,1,0,0,663.5260,563.9357,18532.2559
2088302351,261,248,1,1,5,0,620.4150,515.6809,11891.6004
1737614972,274,270,1,1,0,0,710.9805,471.6182,15202.2634
2041801789,248,242,1,1,0,0,706.9651,640.3781,11605.3771
1890607108,264,257,1,1,0,0,752.9293,653.3931,12676.1559
1548894707,249,241,1,1,0,0,715.6529,469.0590,16591.1285
875759280,293,268,1,1,1,0,720.7301,647.8273,13089.0411
2022198427,257,252,1,1,0,0,789.1256,574.9072,16619.8086
960460137,263,264,1,1,0,0,757.9938,467.4737,14174.9502
1731648822,245,237,1,1,1,0,808.9341,679.0591,17262.3349
1776742500,265,251,1,1,1,0,790.3018,674.1267,14201.5461
257763261,248,238,1,1,0,0,774.7354,471.3378,17707.8562
1940031408,272,263,1,1,1,0,787.2009,514.6953,15225.0875
1733540723,240,235,1,1,0,0,796.9028,1063.8705,12131.4442
264254940,243,241,1,1,0,0,595.0373,482.0603,15420.9134
1890587392,265,260,1,1,0,0,603.8326,492.4393,15376.0084
1160718108,265,260,1,1,0,0,647.8461,466.0116,15906.5680
2001472007,266,256,1,1,0,0,652.5297,551.1027,12200.3239
970247690,255,250,1,1,0,0,639.8522,561.0341,13655.2558
1923201727,280,265,1,1,2,0,619.4277,652.4521,16543.1099
1370682416,242,241,1,1,0,0,633.5730,572.6082,16693.7170
1121372332,256,242,1,1,0,0,640.5827,646.2352,16158.9870
999255986,252,247,1,1,0,0,614.5926,589.0403,12710.8469
1412688676,273,259,1,1,0,0,633.8314,465.1834,15097.7439
138547900,263,251,1,1,3,0,657.5854,618.2616,14405.9905
1736010214,257,255,1,1,0,0,655.0686,570.3595,15517.9085
1755795230,285,273,1,1,0,0,637.6707,593.3957,13184.1413
474979049,249,241,1,1,1,0,657.4542,581.3995,14058.5597
495749478,259,248,1,1,0,0,683.0747,638.4735,13870.6046
489207067,272,269,1,1,0,0,667.2813,554.2037,14554.8781
272307508,258,252,1,1,0,0,659.5555,471.0425,17195.4624
1563544959,259,250,1,1,0,0,638.3708,565.5900,14646.2541
444862044,270,244,1,1,5,0,722.8770,1105.1280,16219.9166
644912201,276,258,1,1,2,0,772.3752,1080.0710,15047.0100
1658554878,256,249,1,1,0,0,678.4305,508.0892,15176.0693
1309679274,269,253,1,1,2,0,677.8954,565.6401,12204.1943
539819398,253,234,1,1,8,0,615.8461,635.5748,13156.8949
855088421,270,260,1,1,0,0,738.4826,494.0269,17440.1990
782167156,240,232,1,1,0,0,726.4302,1414.8435,14065.4622
743962666,256,255,1,1,0,0,760.7673,469.8021,17174.9956
934317511,256,252,1,1,0,0,754.6109,487.2861,14322.6405
1358836396,255,250,1,1,0,0,608.9895,501.3477,11642.5153
652737178,275,246,1,1,1,0,609.7447,603.5162,14518.2219
376570637,290,269,1,1,2,0,598.0467,512.0650,13818.5137
578993564,254,246,1,1,1,0,639.5711,565.5831,14033.2793
1473097760,276,269,1,1,0,0,708.8453,819.8507,14481.9906
759353944,262,251,1,1,0,0,774.6191,501.6774,12193.3841
207789193,266,262,1,1,0,0,722.4128,476.7953,16544.3845
1307542184,266,261,1,1,0,0,630.2708,744.7644,13092.7194
249397074,264,258,1,1,0,0,649.4493,614.6440,16757.7567
2004974209,270,246,1,1,0,0,642.5528,631.8023,13990.3349
1345921760,257,254,1,1,0,0,647.5879,698.6809,14053.4867
2040195652,252,247,1,1,0,0,756.8059,531.0805,15522.4824
1207547656,253,249,1,1,0,0,773.8136,1012.5918,17305.3757
1555155554,261,257,1,1,0,0,651.0381,701.8269,12951.7182
1349837981,290,272,1,1,0,0,651.6012,515.6788,15965.0213
174468843,280,255,1,1,0,0,654.2331,540.1029,19136.0597
898850884,251,249,1,1,0,0,648.2295,687.8565,15406.1103
252930799,280,268,1,1,2,0,668.4916,727.0528,14561.8180
2083646347,244,242,1,1,0,0,659.9239,529.8503,14176.7695
1867084521,249,246,1,1,0,0,665.2517,615.8660,16728.0118
1070265751,264,255,1,1,0,0,660.5139,525.6856,13676.8338
52743504,267,254,1,1,1,0,669.4286,528.6779,14468.7182
1537157932,270,249,1,1,0,0,687.8688,520.0669,17014.1343
916380758,249,243,1,1,0,0,777.9019,1020.2710,14876.3597
2069025352,256,243,1,1,0,0,788.8436,1037.7605,20703.1751
929356410,273,266,1,1,0,0,647.3690,538.5368,14771.1154
1375726618,276,255,1,1,2,0,783.2236,828.0957,17027.6803
1655858481,267,253,1,1,0,0,792.5840,1191.3032,14347.1100
69135402,268,265,1,1,0,0,788.1939,1014.8568,16280.1894
1850455967,256,251,1,1,0,0,764.1632,614.8692,15337.6174
1605342476,256,251,1,1,1,0,754.3690,685.5910,16264.4189
902732761,261,250,1,1,1,0,753.9535,623.0201,16321.0422
468796138,264,252,1,1,1,0,644.0836,526.1979,14621.1946
2113826855,279,263,1,1,0,0,755.6036,892.4439,13704.9616
505072872,265,252,1,1,0,0,655.6135,566.4836,16752.3734
1076835607,259,251,1,1,1,0,643.8418,523.0622,12801.4507
1738438432,259,247,1,1,0,0,630.6216,604.8840,13183.4897
