inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
706996899,140,129,1,1,0,0,165.4993,260.5497,3497.7158
683795366,122,119,1,1,0,0,163.3459,269.4709,3632.7514
2118981747,131,128,1,1,0,0,152.8313,254.2027,3159.8047
1007790109,126,123,1,1,0,0,145.7951,258.9753,2655.7323
2010124990,140,137,1,1,0,0,142.6292,258.8007,3226.9058
575209377,151,151,1,1,0,0,132.0434,258.2873,4541.0642
716519504,140,134,1,1,2,0,152.5195,286.7095,3505.5184
2095622324,130,128,1,1,1,0,133.1210,270.4850,4998.5896
1682812063,104,104,1,1,1,0,134.2399,264.1857,3335.3423
1444732229,137,131,1,1,0,0,149.7102,256.6057,3179.7427
1550400030,130,129,1,1,0,0,157.0303,262.9609,3940.2897
379014684,128,126,1,1,0,0,164.5909,257.0376,3997.6918
812056294,136,130,1,1,0,0,170.6158,268.7468,3095.9512
1808866698,129,127,1,1,0,0,164.9232,346.5103,5283.1722
2129127787,128,127,1,1,0,0,177.7430,258.4017,3480.8047
1403150193,137,130,1,1,0,0,166.6623,268.9399,2573.2866
37866528,122,117,1,1,0,0,168.7476,257.1537,3223.7975
795077748,126,126,1,1,0,0,186.2341,262.2341,3316.8885
2109154625,124,122,1,1,0,0,179.5740,262.1199,3280.1231
1659120049,139,136,1,1,0,0,171.5337,264.2002,2606.3827
440651958,112,111,1,1,0,0,169.4152,344.5597,3746.0896
2116699563,134,132,1,1,0,0,163.5554,260.3794,3752.3121
402199715,129,129,1,1,0,0,177.4669,262.5153,2340.8846
1828283267,119,119,1,1,0,0,154.0986,261.8397,2411.0585
626864907,123,123,1,1,0,0,144.2799,262.4169,5344.9801
1772095754,136,136,1,1,0,0,136.6159,256.0379,3779.7623
363212762,133,132,1,1,0,0,137.6699,265.2828,3535.6916
1779548668,114,113,1,1,0,0,148.7595,345.9570,2289.5422
510488052,146,139,1,1,0,0,141.3529,267.4258,3049.5032
652597006,121,117,1,1,1,0,142.2190,264.0758,2555.3169
1200039479,148,146,1,1,0,0,138.6969,263.8953,3515.9798
65517415,129,122,1,1,0,0,178.3889,262.6254,2366.9213
924314880,129,123,1,1,0,0,161.0171,273.5098,3306.2906
1308026973,128,126,1,1,0,0,169.5009,263.5196,5448.1025
968034873,119,119,1,1,0,0,163.5770,265.4016,3626.0506
2087158973,132,132,1,1,0,0,172.5723,257.2214,4523.3836
54414185,115,113,1,1,0,0,166.0448,256.2725,4609.0171
152289771,138,135,1,1,0,0,142.8811,263.0124,3291.8701
812769497,111,111,1,1,0,0,128.7067,261.7723,2140.6127
1007832294,143,132,1,1,0,0,128.4896,263.5544,3492.6523
676298953,124,123,1,1,0,0,138.0812,261.2140,3333.9586
2143455356,117,114,1,1,0,0,133.6329,262.6430,2235.5781
1070610194,141,137,1,1,0,0,133.9322,260.1470,2482.9030
234478458,117,114,1,1,0,0,142.3965,263.6791,3552.7083
1456534298,127,127,1,1,0,0,139.6291,263.5758,2259.0497
1846965691,143,136,1,1,0,0,139.8376,348.9242,3894.8293
133475693,123,121,1,1,0,0,138.5400,264.8658,2422.2824
333617095,117,117,1,1,0,0,138.1463,265.8084,4116.4036
1159430406,129,130,1,1,0,0,133.8786,265.1653,4557.5098
529171091,133,119,1,1,0,0,136.8780,260.5757,3671.8815
1633966641,128,129,1,1,0,0,138.4512,265.7738,5312.5984
699140625,131,127,1,1,0,0,137.6298,263.0292,2397.8766
1222538119,141,135,1,1,1,0,137.1776,275.6332,2441.9674
2122639895,124,122,1,1,0,0,137.5507,267.1574,2310.3485
1693715145,128,107,1,1,1,0,139.1641,277.9943,2105.1990
1535800812,124,122,1,1,0,0,136.9558,268.4620,3339.2090
1415896734,127,120,1,1,2,0,137.5264,273.8211,3004.0246
1713806813,118,117,1,1,0,0,137.5826,261.4558,3445.3453
2078068096,111,109,1,1,0,0,137.1892,350.9305,2181.8314
262018712,120,120,1,1,0,0,139.4809,266.3688,3368.6524
1209096657,132,123,1,1,0,0,149.2469,266.7603,2104.0704
