inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1701303476,168,160,1,1,0,0,180.4536,247.0095,2385.5904
505628541,185,176,1,1,0,0,73.4622,224.3086,2448.3860
797596457,192,184,1,1,0,0,81.0222,214.4012,2266.4445
2035793211,151,150,1,1,0,0,89.2873,216.2861,2083.8524
1894077978,179,170,1,1,0,0,76.9351,215.4764,2256.1058
519748837,155,155,1,1,0,0,86.3749,218.7624,2377.8052
21277857,180,169,1,1,0,0,73.4087,213.4633,2207.1900
1710451381,154,151,1,1,0,0,89.7380,217.7127,2336.3867
2007519886,161,156,1,1,0,0,85.5317,227.5863,2221.1758
1030670531,153,152,1,1,0,0,80.5320,219.7219,2283.0508
322137773,159,159,1,1,0,0,84.9784,205.2903,2282.0530
689566352,188,185,1,1,0,0,77.9105,235.2184,2634.4928
1469142020,170,166,1,1,0,0,79.9162,216.5386,2223.8683
797339142,187,169,1,1,0,0,83.5981,231.5999,2251.0916
1694983470,160,157,1,1,0,0,75.9475,234.6983,2234.1693
1750907626,171,166,1,1,0,0,71.6951,324.7586,2291.1761
755829249,149,149,1,1,0,0,78.4923,164.7281,2440.9170
1325310543,192,179,1,1,0,0,85.3733,214.7064,2332.3770
798533364,174,174,1,1,0,0,82.6887,209.4538,2216.5072
1679431852,168,168,1,1,0,0,79.4596,222.2706,2250.6146
232569757,155,150,1,1,0,0,79.9145,219.2495,2335.1463
757494092,169,164,1,1,0,0,71.6653,302.5250,2273.8001
244395394,160,160,1,1,0,0,78.0005,217.7404,2477.7539
517341472,165,155,1,1,0,0,76.5098,215.9604,2484.8489
1904385271,183,178,1,1,0,0,76.0650,208.2980,2438.1824
1391722606,175,168,1,1,0,0,86.1513,228.4061,2440.4823
776181813,183,170,1,1,0,0,76.2986,247.3357,2318.6569
1377699324,141,141,1,1,0,0,81.4112,211.2557,2431.6615
1087515030,170,169,1,1,0,0,77.9318,235.0550,2213.9021
909477809,183,166,1,1,0,0,87.4611,213.8817,2283.5497
2109625957,179,171,1,1,0,0,83.8115,225.7644,2261.1130
350656507,172,171,1,1,0,0,92.8412,215.9469,2249.9465
817732023,142,142,1,1,0,0,82.2754,220.7774,2107.9613
1478867520,156,150,1,1,0,0,80.3987,209.7245,2335.3265
848393533,151,149,1,1,0,0,77.8557,219.9476,2302.3443
1863852282,170,162,2,1,0,0,73.8225,88798.3793,2391.9146
141896490,167,152,1,1,1,0,82.1906,224.1585,2353.7452
463544342,172,151,1,1,0,0,77.3300,204.6259,2336.6437
776803259,151,148,1,1,0,0,84.1591,318.6074,2231.1705
266654143,162,147,1,1,0,0,82.6777,204.4744,2319.5525
1751832830,195,181,1,1,0,0,83.0504,318.9936,2352.0333
338382071,163,160,1,1,0,0,79.9259,227.4888,2329.1895
2117091728,150,150,1,1,0,0,76.2037,214.8659,2324.6336
589533569,146,142,1,1,0,0,85.1372,206.2530,2149.4565
1460234499,155,155,1,1,0,0,77.8811,338.7129,2325.4531
753060086,165,164,1,1,0,0,82.0521,234.5146,2305.6541
417753672,156,144,1,1,0,0,72.8304,219.4846,2247.7290
1009205675,163,162,1,1,0,0,80.9393,207.5406,2394.4693
1644453309,171,170,1,1,0,0,78.0824,248.1273,2404.7795
1923901314,172,159,1,1,0,0,75.1679,219.9439,2183.5307
1488152001,144,141,1,1,0,0,72.1533,228.4360,2239.3495
1541033487,185,176,1,1,0,0,75.4906,305.5117,2434.3250
1780649109,153,151,1,1,0,0,84.2942,223.2482,2418.3670
560089642,148,148,1,1,0,0,81.5792,220.9035,2227.4607
1313768928,158,155,1,1,0,0,84.8164,224.0953,2397.1115
1168861801,162,162,1,1,0,0,80.4921,204.5228,2389.1269
2122631245,154,147,1,1,0,0,82.1572,218.7173,2183.8708
1825736765,155,153,1,1,0,0,72.7268,200.4944,2231.9840
1151790945,154,143,1,1,1,0,81.8930,232.0533,2454.6103
547472299,179,177,1,1,0,0,81.7614,231.9486,2132.2730
460045118,166,166,1,1,0,0,92.8165,208.4549,2276.4798
1550986770,147,147,1,1,0,0,76.9623,209.4690,2478.8135
1103899493,191,168,1,1,0,0,84.7909,225.8798,2472.5849
1190015605,190,172,1,1,0,0,75.3983,232.4681,2320.9941
914695426,167,167,1,1,0,0,79.9646,207.6476,2424.6349
1057041588,165,162,1,1,0,0,83.8285,228.8618,2106.0153
1667503023,164,142,1,1,1,0,99.8296,214.9063,2407.9775
720669986,177,166,1,1,0,0,81.1982,241.5938,2246.3529
1548183416,159,159,1,1,0,0,83.6238,205.5651,2201.6794
2117148771,158,149,1,1,0,0,75.4403,220.6795,2252.4554
1238145702,174,174,1,1,0,0,78.4768,213.3802,2043.7255
1517678363,157,156,1,1,0,0,77.7653,206.7869,2362.8219
876002421,150,149,1,1,0,0,91.5026,258.1352,2457.8022
949168523,210,172,1,1,0,0,76.3166,228.7656,2330.9829
588188226,149,147,1,1,0,0,90.6143,204.0700,2286.7907
1796334885,189,168,1,1,0,0,76.0148,223.8165,2556.4762
1057186015,163,163,1,1,0,0,80.3390,222.3944,2205.1528
1089619190,151,146,1,1,0,0,80.4877,238.8362,2204.7926
922389281,136,134,1,1,0,0,95.1856,221.3608,2156.0232
1151965810,175,148,1,1,1,0,76.4872,224.2831,2336.6639
1081553316,170,169,1,1,0,0,74.2437,226.0477,2294.8757
1307761068,167,167,1,1,0,0,86.4303,205.5497,2245.2442
537384931,158,157,1,1,0,0,71.8768,316.8725,2170.6614
691761703,205,192,1,1,0,0,78.4802,219.0381,2239.6703
541568297,164,163,1,1,0,0,91.8935,205.7103,2198.9976
215535636,196,186,1,1,0,0,73.0131,321.6642,2527.5251
920355235,157,151,1,1,0,0,74.1728,218.0769,2449.0347
1344633394,196,183,1,1,0,0,80.6075,169.4898,2516.6291
1419100708,159,149,1,1,4,0,89.5791,339.9452,2183.2769
579867935,179,175,1,1,0,0,69.2291,213.7506,2152.3681
1243231459,154,145,1,1,0,0,69.5772,221.8196,2295.1228
1109061197,174,160,1,1,0,0,72.3710,336.6898,2370.4354
1341295882,149,147,1,1,0,0,93.6307,323.0662,2308.2104
1818369884,175,173,1,1,0,0,86.7845,220.8811,2222.2003
1369605050,161,160,1,1,0,0,79.0278,313.0764,2306.5941
