inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1514395415,292,255,1,1,0,0,757.7408,642.5920,14605.8332
397023230,297,266,1,1,0,0,361.2523,713.0578,14986.4146
854130406,281,249,1,1,0,0,357.8500,722.8867,11478.1647
148989325,297,263,1,1,0,0,343.6874,715.6306,14897.5067
1318383646,288,246,1,1,3,0,352.5375,744.2342,13858.1135
906795881,349,265,1,1,3,0,359.1888,695.8340,13463.3003
1915830520,291,255,1,1,0,0,354.5583,714.1624,13721.6600
1141257445,277,255,1,1,0,0,360.4222,637.4189,16684.8911
549110509,285,259,1,1,0,0,374.8825,631.6379,14164.3083
409145137,273,252,1,1,1,0,345.8800,666.2281,13723.1068
2062834378,287,263,1,1,0,0,355.3689,764.5849,15804.3542
926764504,278,252,1,1,0,0,352.8559,765.2602,13818.5127
1117457343,284,257,1,1,0,0,355.0308,719.0876,15023.2077
1072700100,275,249,1,1,0,0,347.3732,712.6147,12690.7149
1626410660,268,244,1,1,0,0,359.1094,694.7484,14947.0844
129387931,295,254,1,1,0,0,349.5813,694.9267,10721.8748
720332998,292,250,1,1,0,0,344.9621,643.0387,12576.2601
1193133229,269,240,1,1,1,0,360.2812,638.7476,15811.3070
1551289679,275,248,1,1,1,0,345.0559,708.1598,12060.6318
1989617051,280,258,1,1,0,0,344.2972,629.0932,19045.7308
654166279,286,266,1,1,0,0,356.1679,721.4414,13477.3250
546085108,294,254,1,1,1,0,354.7902,667.4767,11687.2342
720759630,276,248,1,1,0,0,361.2182,697.7334,13788.7078
2088302351,307,260,1,1,1,0,343.9168,645.4674,16387.8182
1737614972,297,261,1,1,0,0,346.9994,639.5982,14221.9875
2041801789,261,236,1,1,1,0,344.8996,639.3068,13155.0323
1890607108,263,238,1,1,1,0,341.5978,725.6609,13861.7687
1548894707,276,248,1,1,0,0,341.8536,694.8881,14379.5934
875759280,283,245,1,1,0,0,345.9877,711.2719,14598.6535
2022198427,280,254,1,1,0,0,345.9426,658.7961,12178.0563
960460137,291,270,1,1,0,0,350.3006,720.3775,12365.7160
1731648822,282,254,1,1,0,0,350.5647,639.3852,12625.5331
1776742500,297,244,1,1,2,0,347.9052,727.2498,11724.7553
257763261,279,255,1,1,0,0,348.9268,630.4843,13274.8983
1940031408,287,249,1,1,0,0,346.0392,770.3158,15130.6221
1733540723,284,251,1,1,3,0,343.2829,654.8207,15719.8619
264254940,280,254,1,1,0,0,342.8556,709.6608,13596.4812
1890587392,278,251,1,1,0,0,344.2202,699.7454,18998.9956
