inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
126827386,298,279,1,1,0,0,265.7193,371.7252,10307.4520
761329787,289,277,1,1,0,0,248.3228,415.4347,8323.6261
558641285,281,277,1,1,2,0,247.4925,433.7461,9173.4658
91639066,304,280,1,1,1,0,247.9046,356.6206,8521.3758
1536643814,280,275,1,1,0,0,248.7980,440.5693,8788.6772
1074241974,300,283,1,1,2,0,254.6963,455.6323,8900.2358
618607571,290,280,1,1,0,0,241.0295,442.3283,9040.1955
645431201,287,282,1,1,0,0,242.4131,502.5488,8775.2351
460216217,268,267,1,1,0,0,239.1224,376.1475,8424.2686
1295136349,288,281,1,1,0,0,240.2683,418.9968,8536.4234
1651955435,269,266,1,1,0,0,245.9746,418.4217,9264.6814
268052889,298,275,1,1,0,0,237.9453,429.3157,7645.9658
514366596,280,273,1,1,0,0,245.7879,356.6404,8873.6383
1581365966,305,287,1,1,1,0,241.6170,435.7427,8090.2208
1920718706,291,277,1,1,0,0,239.2720,356.8321,8466.5928
1284431749,286,270,1,1,0,0,242.7733,560.3813,8217.2053
1187895230,274,270,1,1,0,0,240.5806,436.2441,8776.8416
1690803105,298,294,1,1,0,0,241.0102,437.8023,7796.3756
481316619,286,283,1,1,0,0,242.3502,487.9065,10057.5857
2050784128,297,272,1,1,0,0,243.0376,422.3406,8823.1916
768995891,300,276,1,1,0,0,244.9544,349.5676,9101.2583
2081487829,298,292,1,1,0,0,250.1472,491.9279,8554.5203
1616441113,280,268,1,1,0,0,245.2794,552.5529,8774.1828
700238667,298,287,1,1,0,0,257.8108,479.4831,9410.7305
203605301,292,278,1,1,0,0,245.2482,505.8719,9717.5936
733507883,297,290,1,1,0,0,252.2568,498.5966,8696.6312
480402477,298,287,1,1,0,0,256.0375,368.1341,8874.7753
997633399,283,271,1,1,0,0,252.4502,425.5753,8587.7448
1737684753,290,286,1,1,0,0,248.0096,352.0882,8364.4740
900231760,297,280,1,1,0,0,260.6429,350.2599,8106.0289
125607226,335,303,1,1,0,0,257.4826,436.3617,9445.7760
370980573,287,277,1,1,0,0,260.8285,357.8256,8412.6566
1071395006,287,283,1,1,0,0,238.7541,564.9196,8600.4780
344742393,307,293,1,1,0,0,252.6946,357.2517,8646.0467
1711471659,316,286,1,1,1,0,250.8641,359.6406,7836.9870
902273373,274,273,1,1,0,0,248.4221,478.9688,8317.5653
2114491297,298,284,1,1,0,0,248.7112,493.9661,8120.5587
1085714994,285,284,1,1,0,0,247.8632,369.4808,8968.0779
653135655,289,277,1,1,1,0,245.1721,438.1591,8530.1923
426392364,288,281,1,1,0,0,248.4529,354.2550,7580.1921
1791441602,300,280,1,1,0,0,238.4476,421.4450,8320.4424
1678038082,303,290,1,1,0,0,260.4986,430.1412,7974.7136
1746839362,312,291,1,1,7,0,258.4807,627.9857,8712.1430
1467420220,292,277,1,1,0,0,251.8245,425.3700,7849.6642
1347499789,293,273,1,1,0,0,258.4701,356.7718,8858.0696
1844009866,280,268,1,1,0,0,260.8621,427.1666,8386.7082
964224227,341,301,1,1,3,0,248.8405,581.6402,7478.3935
1816820874,309,298,1,1,0,0,253.7664,352.1926,8490.7361
112280045,277,272,1,1,0,0,259.7587,489.9553,8714.6158
1636621137,278,266,1,1,0,0,260.8758,355.3595,8922.5015
1728268513,277,274,1,1,0,0,251.2048,384.5928,8381.6769
459530706,316,305,1,1,0,0,268.6882,546.6289,8384.2605
838465176,293,277,1,1,1,0,268.0472,583.8846,8454.9103
1793011860,277,267,1,1,0,0,262.6393,430.9267,7955.7069
1549995791,300,283,1,1,0,0,262.3077,357.8192,8053.2918
1997497355,290,288,1,1,0,0,252.8223,356.0413,8377.0712
1675177671,297,278,1,1,0,0,260.7863,431.2063,9284.0511
1124314649,283,271,1,1,0,0,249.1399,489.3187,7741.9190
740257885,343,289,1,1,2,0,262.7674,367.0209,8658.1577
2018238131,299,289,1,1,1,0,264.2641,570.9489,7511.3786
1653282017,303,294,1,1,1,0,262.7855,504.0033,8800.9679
594278381,289,273,1,1,0,0,253.8575,570.6495,9479.6580
971313653,294,289,1,1,0,0,257.5208,425.4308,9240.2182
1742174868,317,294,1,1,0,0,259.1171,428.0155,14807.0007
2118134355,316,288,1,1,0,0,261.9308,358.5001,8419.7794
