inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1855619727,112,107,1,1,0,0,124.1457,275.5558,2913.1181
410353911,110,104,1,1,1,0,103.4194,278.2911,2960.3084
495163209,103,103,1,1,0,0,105.9095,277.3529,3296.1892
965170465,119,118,1,1,0,0,105.4424,286.7633,2918.1272
409536649,121,116,1,1,2,0,111.0126,275.4960,2789.5449
729140410,122,107,1,1,0,0,105.7967,275.7064,2925.3449
1900497239,110,106,1,1,0,0,102.7388,276.1502,2745.1685
448714133,119,112,1,1,0,0,113.4532,274.3169,5138.9765
1276333978,118,116,1,1,1,0,109.2339,286.3406,2961.2418
1477796737,118,108,1,1,0,0,119.2837,275.0702,3243.5726
582185854,113,111,1,1,0,0,118.8192,273.2003,4522.2834
1451172778,109,102,1,1,0,0,125.9587,273.5810,2934.7464
993011277,121,112,1,1,0,0,120.4326,275.4559,3242.3331
1919049357,113,103,1,1,0,0,113.0014,272.6098,4350.6025
840958186,98,96,1,1,0,0,106.9992,275.7303,2934.9786
2045562195,116,113,1,1,0,0,115.8994,273.7659,2986.7407
2094553,112,109,1,1,0,0,116.3807,273.0380,3428.5486
280919166,122,116,1,1,1,0,110.1217,283.5979,3008.3313
1464875966,111,106,1,1,0,0,106.6279,278.7197,3067.2049
870889029,109,106,1,1,0,0,107.3643,273.0181,5290.1836
1640351285,120,113,1,1,0,0,107.6074,279.7296,2886.1131
961238894,109,109,1,1,0,0,108.0080,274.9748,3063.6918
4938340,123,120,1,1,0,0,119.3841,286.0986,4331.9607
306494845,120,114,1,1,0,0,119.3358,274.2274,2981.8010
881074045,117,110,1,1,0,0,118.3764,277.4406,3100.8123
844826947,111,104,1,1,1,0,105.4678,276.0091,2918.8255
1281234292,124,115,1,1,0,0,112.2462,276.2774,4854.8289
520555991,118,112,1,1,0,0,102.1676,274.9077,3048.9893
266401806,108,106,1,1,0,0,101.3439,277.0926,2909.7323
562450794,104,99,1,1,0,0,100.6597,272.8204,3453.4909
630256308,124,118,1,1,0,0,103.4085,279.9900,2938.1006
1657155324,127,117,1,1,0,0,102.2564,274.7462,5309.6893
1395932050,119,105,1,1,0,0,101.1059,277.5151,5400.5282
448657390,104,103,1,1,0,0,100.8357,276.3259,2929.3234
194276895,111,107,1,1,0,0,104.3352,275.9336,2744.0610
1623245829,109,109,1,1,0,0,100.5969,274.3447,2804.4505
163167001,126,118,1,1,0,0,104.3395,273.3722,6119.4439
640819667,114,110,1,1,0,0,123.2277,272.1101,5691.7343
202667802,124,122,1,1,0,0,110.0845,277.2878,4750.6955
250378079,131,113,1,1,0,0,109.3886,276.6975,3235.5035
284155700,107,106,1,1,0,0,101.8204,275.2524,3141.5179
1139792323,112,103,1,1,0,0,109.3027,275.9123,3331.2735
602171930,105,101,1,1,2,0,116.8707,282.2107,3039.3377
1359325169,123,119,1,1,0,0,105.8041,276.6225,3255.0563
748700315,118,113,1,1,1,0,123.2151,283.7036,2951.6173
1439240236,115,112,1,1,0,0,119.4402,276.1611,5335.9624
1840661763,106,102,1,1,0,0,131.4474,342.8624,3252.3257
1617526643,113,107,1,1,0,0,119.6336,280.6474,2747.7730
974357715,105,97,1,1,2,0,118.0429,283.6484,2786.4491
1207798414,124,120,1,1,0,0,123.7911,275.3203,4678.3404
1809748464,113,112,1,1,0,0,118.2716,278.2016,3052.8952
283092723,131,129,1,1,0,0,130.3486,274.8802,3388.7715
1168803576,101,99,1,1,0,0,121.9806,275.0285,3121.1926
1777773535,113,112,1,1,0,0,129.9069,282.9607,5209.3157
1683845126,111,105,1,1,0,0,132.2250,277.4618,2920.4368
1039885855,104,101,1,1,0,0,118.3327,275.1473,2921.2458
1495017086,128,114,1,1,0,0,121.1416,277.9040,4804.3331
751890186,114,114,1,1,0,0,131.6382,279.4309,5126.1208
2022966873,118,114,1,1,0,0,120.4068,274.5120,4635.5060
1529538889,112,108,1,1,0,0,118.0442,275.2983,2798.0922
343065097,124,111,1,1,0,0,116.9872,277.4045,2997.0136
162327753,114,108,1,1,0,0,121.6718,277.4722,2992.6047
1538420807,117,113,1,1,0,0,121.5557,278.6064,3198.3693
893344168,124,121,1,1,0,0,124.8243,281.3440,2838.4787
1003702740,121,111,1,1,0,0,126.4975,278.5673,2912.4908
1514824138,135,124,1,1,0,0,124.8353,287.1976,5196.8680
1778751556,119,104,1,1,0,0,128.4998,278.4384,3099.9692
1656003688,118,113,1,1,0,0,126.4706,278.6030,3380.1703
1735896736,120,110,1,1,0,0,127.0396,276.8011,3101.8882
1755233975,108,104,1,1,0,0,119.6200,277.2884,3178.8561
1459875880,116,113,1,1,0,0,127.8212,281.0170,2967.6270
331045220,115,112,1,1,0,0,122.4480,277.2657,4909.8768
1632950564,105,102,1,1,0,0,131.8446,287.0184,3046.9395
1919626504,108,103,1,1,1,0,133.2183,279.9014,2852.4213
2000103625,106,105,1,1,0,0,132.6036,278.5808,2975.5119
1324210318,118,112,1,1,0,0,129.3768,279.4820,3105.9534
773101118,101,97,1,1,0,0,124.7303,277.3664,2811.1479
646741364,126,115,1,1,0,0,108.2866,277.1384,4580.0842
1606847906,125,118,1,1,0,0,106.7569,279.4028,4777.4727
111510605,101,100,1,1,0,0,106.8027,276.8430,3110.5893
1683412502,115,112,1,1,0,0,107.5002,277.4788,4296.2057
1004534100,103,98,1,1,0,0,106.9901,275.9178,2803.9628
729637194,118,112,1,1,0,0,110.2445,275.6090,3119.0098
977951389,123,118,1,1,0,0,109.2475,277.5459,4632.0973
1902963503,125,116,1,1,0,0,107.2886,291.1708,3098.8004
2118443425,102,97,1,1,3,0,132.8908,310.1321,2809.5098
41360821,111,101,1,1,1,0,129.7985,281.2845,3469.5507
2135415184,105,99,1,1,0,0,134.2502,342.5086,2995.1150
1050680306,114,109,1,1,0,0,105.8424,276.9077,4921.3178
1640518259,108,107,1,1,0,0,106.9289,275.4969,2929.8880
785760227,104,104,1,1,0,0,107.5054,281.7687,3024.4816
1538321078,101,98,1,1,0,0,107.7202,275.2326,2717.6556
1262070471,109,106,1,1,0,0,107.5474,276.1487,6462.7297
2731092,120,116,1,1,0,0,108.2536,276.5279,3330.7738
1611317663,123,121,1,1,0,0,111.8545,282.1057,3076.0918
1665627191,130,125,1,1,1,0,109.7188,281.7924,4330.5686
302537109,130,121,1,1,1,0,106.8896,288.9031,4846.2625
83227594,119,104,1,1,0,0,106.9551,277.8723,5091.5703
425769593,102,102,1,1,0,0,106.5844,277.1827,2902.2003
1776249662,107,102,1,1,0,0,106.1657,279.0649,2997.4887
1869691976,117,103,1,1,0,0,107.2911,283.0665,3089.8325
1520012949,122,113,1,1,0,0,109.8529,282.0772,3157.2079
1898574178,101,97,1,1,0,0,106.6309,278.3464,2873.4850
1358447673,113,107,1,1,0,0,106.6660,278.2547,4094.7505
1385461585,122,121,1,1,0,0,107.4750,279.8306,2819.7963
205662166,107,99,1,1,2,0,115.1863,296.7423,2811.5275
418859236,125,113,1,1,1,0,106.4220,299.2881,2960.3729
1443550729,112,109,1,1,0,0,107.2695,277.2226,2937.2718
224812354,101,102,1,1,0,0,106.9787,277.2509,3016.8730
1622272880,116,114,1,1,0,0,106.9837,281.0862,3140.6618
331600517,114,113,1,1,0,0,107.0917,276.2826,3125.1552
1043237075,124,117,1,1,0,0,107.3566,277.4787,3965.2650
1056087192,111,108,1,1,0,0,107.0900,275.0467,3182.3439
943361303,111,106,1,1,0,0,106.8332,277.2891,2967.7878
109097643,131,122,1,1,0,0,107.6244,276.2583,3170.3312
1859406496,112,108,1,1,0,0,107.6498,277.7683,4465.4218
401422221,128,125,1,1,0,0,109.4900,278.7456,4523.9014
1374987105,121,119,1,1,0,0,108.8349,276.4549,3158.8979
1546058360,110,99,1,1,0,0,106.8370,343.0500,3042.7830
1639616017,126,120,1,1,0,0,105.6107,284.8254,4716.1701
1433950864,122,111,1,1,0,0,106.7929,276.3481,3021.7014
98939815,119,112,1,1,0,0,106.7933,277.3842,2752.8650
568589138,120,109,1,1,2,0,108.8902,300.7347,2981.7188
71515432,116,104,1,1,0,0,106.7057,275.7971,3049.0201
1944318813,102,96,1,1,0,0,106.2076,275.7968,2977.7263
651464158,115,110,1,1,1,0,106.9987,289.7203,3000.5875
130196564,117,110,1,1,0,0,106.7290,275.6879,4399.6100
1960806537,109,108,1,1,0,0,107.1359,282.4523,2893.5180
1702132289,101,96,1,3,0,3,106.7484,275.6899,230216.1255
1220359296,128,122,1,1,0,0,107.1487,278.2059,3109.0517
632835190,117,117,1,1,0,0,101.4325,275.5087,2784.2833
497014942,117,111,1,1,0,0,101.1264,276.5113,3243.8762
433375962,140,124,1,1,0,0,99.9588,277.8677,4489.3170
158108243,99,97,1,1,0,0,101.0205,277.3748,2901.0394
1725273459,133,116,1,1,0,0,101.5639,286.0352,3329.6852
508138115,123,112,1,1,0,0,104.6643,278.6072,3107.8452
940247102,115,105,1,1,0,0,101.4886,276.7079,3065.3308
498194365,109,101,1,1,0,0,101.1006,282.8675,3069.6051
200870952,102,99,1,1,0,0,102.3255,282.8194,2959.9533
690602477,106,98,1,1,0,0,101.2054,275.1414,2820.7323
1025094928,120,115,1,1,0,0,101.1221,276.1852,5721.9687
1248570662,114,109,1,1,0,0,102.5907,276.5944,2890.8552
1400605661,96,96,1,1,0,0,101.6425,275.7092,3038.6551
1596575303,112,107,1,1,0,0,101.5983,276.3797,3080.0026
1320557478,100,96,1,1,1,0,102.4165,286.4459,3115.0218
25801669,116,112,1,1,0,0,101.0841,275.3775,3324.2934
514933716,117,106,1,1,0,0,101.2457,276.0122,4500.5205
639633769,129,116,1,1,1,0,102.5109,286.1759,4422.4903
1385818326,115,113,1,1,0,0,102.2270,278.3512,3226.5314
1756973926,107,99,1,1,1,0,102.9418,289.7325,3019.8402
1214132369,104,101,1,1,0,0,101.6647,276.6174,2971.7532
1460940833,104,102,1,1,0,0,101.2189,277.6300,4239.8211
35218013,125,114,1,1,0,0,103.0687,276.4662,3067.5696
1190774790,124,111,1,1,0,0,99.9532,277.8243,3176.5801
1953100143,119,117,1,1,0,0,101.1673,276.2633,3677.5610
811512220,120,115,1,2,0,1,100.9493,276.5276,142030.3258
609914679,112,110,1,1,0,0,107.7327,276.3185,2943.6437
997023857,102,99,1,1,0,0,106.5636,277.6093,2838.1660
251759351,110,106,1,1,0,0,106.7957,275.5138,3039.4969
1300490197,114,108,1,1,0,0,106.8192,275.2182,2949.1374
1727558190,134,124,1,1,1,0,107.6038,284.0251,3200.5486
