inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
762915432,257,231,1,1,1,0,164.9586,352.9516,10278.0987
906154881,274,225,1,1,3,0,165.3869,365.8923,5606.0420
280506926,216,210,1,1,0,0,161.7110,279.1555,4495.1269
194179708,268,222,1,1,1,0,170.9352,356.1262,5122.4537
1551510031,229,210,1,1,0,0,161.5005,273.9741,5471.1173
2102856812,223,203,1,1,0,0,158.6057,276.5310,4887.8836
1017158859,240,217,1,1,0,0,171.6706,270.8151,9501.7524
1733165235,251,219,1,1,0,0,164.5007,404.7595,4728.3240
155783824,204,191,1,1,0,0,160.0922,267.0596,5029.3191
335991080,261,220,1,1,0,0,157.1589,291.0313,5272.1969
1005385783,270,222,1,1,0,0,161.7186,289.2599,8261.0025
1278418197,269,227,1,1,0,0,156.4551,354.8706,5081.2765
1978490571,247,215,1,1,1,0,156.7726,278.4818,4749.2407
1163132064,259,211,1,1,0,0,170.4560,281.5959,5261.2663
620926769,207,190,1,1,0,0,152.1611,265.9437,4244.7914
1152743338,243,214,1,1,0,0,147.4725,270.9029,5416.9198
993568449,264,222,1,1,0,0,156.8467,277.5266,7040.2745
1252466327,234,210,1,1,0,0,161.1872,277.5684,4875.7301
343029257,228,194,1,1,0,0,147.6470,343.9833,4604.6261
584483510,249,217,1,1,1,0,147.5575,295.8158,6740.3979
787658428,225,206,1,1,0,0,160.5753,274.8352,8580.6005
2084267577,250,213,1,1,0,0,170.9119,334.9472,6557.9392
2068669650,258,228,1,1,0,0,180.7922,349.5480,8734.2632
498515734,230,215,1,1,0,0,180.8067,269.9025,7427.9781
305553111,244,212,1,1,1,0,182.3957,349.5324,4738.2396
908889753,238,222,1,1,0,0,181.6511,272.4287,5368.4122
1637698268,249,214,1,1,3,0,176.2076,284.1044,10026.5594
1479573931,213,205,1,1,1,0,167.4984,280.7141,8053.8826
1609640597,244,218,1,1,0,0,167.1770,284.5573,5663.1536
605960773,217,209,1,1,0,0,160.6915,343.6479,5066.6324
725797547,235,211,1,1,0,0,155.5035,278.0648,7863.9777
2095941425,242,223,1,1,0,0,146.8827,285.1507,5411.9202
1246163651,272,229,1,1,1,0,160.5171,287.0702,5113.5733
408809084,222,204,1,1,0,0,156.0221,335.5032,5241.9189
2145843325,257,228,1,1,0,0,167.3106,280.1589,5551.4352
718568438,221,208,1,1,0,0,151.6031,348.0759,5569.9974
603255607,228,210,1,1,0,0,151.5191,286.3042,4935.6342
89077198,229,205,1,1,0,0,175.0352,277.8225,4426.6384
838460419,239,218,1,1,0,0,156.3689,416.1461,5104.4117
2045264535,251,217,1,1,1,0,171.7838,291.9862,7581.3726
2085234693,225,212,1,1,1,0,164.5574,286.7664,5240.1695
