inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1985700800,178,176,1,1,0,0,261.9519,618.2185,6705.0477
1244723380,177,176,1,1,0,0,238.2464,613.6508,11152.7204
1416237911,187,179,1,1,0,0,238.6335,644.4948,7694.9800
2011432984,191,195,1,1,0,0,237.3264,691.8751,8033.8641
2044952472,177,174,1,1,0,0,227.8895,630.5822,6920.1839
1627271873,184,180,1,1,0,0,237.0841,612.3439,10471.1027
1144156699,184,183,1,1,0,0,238.1646,645.3398,12819.9816
13305307,197,192,1,1,1,0,237.0164,698.5377,7236.6838
2069337836,187,185,1,1,0,0,251.4096,613.7926,11713.7667
1565650554,201,191,1,1,0,0,241.2380,616.6404,10099.8756
1774432654,182,182,1,1,0,0,243.1832,624.2281,7263.2892
528668332,181,173,1,1,0,0,245.0287,616.5141,6501.3652
326088175,191,187,1,1,0,0,245.9917,701.0495,9927.1151
609031039,181,180,1,1,0,0,237.8318,614.4706,6614.3102
1939850826,187,187,1,1,0,0,231.2376,614.2626,8046.5344
1375751164,191,184,1,1,0,0,240.5401,623.2032,11708.2107
5568015,175,173,1,1,0,0,237.0183,625.5284,10136.9496
24265020,171,169,1,1,0,0,236.7668,634.2923,9394.3258
41766539,177,178,1,1,0,0,243.2400,617.4836,12032.8432
1194041565,190,184,1,1,1,0,232.1327,630.8155,11447.9075
1286101795,204,188,1,1,0,0,230.4473,685.3311,11500.2174
800859335,181,177,1,1,0,0,236.1456,690.3657,7484.2976
1532067486,185,181,1,1,0,0,234.9093,695.9248,11001.1759
203686923,184,183,1,1,0,0,237.0830,617.6479,9757.9929
675637532,190,183,1,1,0,0,243.9108,613.9983,7778.0502
1926200545,197,186,1,1,3,0,239.7294,660.8490,11978.8095
1727955652,192,191,1,1,0,0,226.3582,619.0613,9545.1009
1115534650,195,195,1,1,0,0,225.1620,614.7188,7633.9423
1783165962,179,180,1,1,0,0,214.5737,694.2816,9786.2014
782940233,188,188,1,1,0,0,214.5188,617.5015,7256.8336
953840062,184,182,1,1,0,0,226.6541,616.2748,11520.0343
1729521604,196,193,1,1,0,0,225.4771,703.6414,12807.0333
888889741,186,178,1,1,1,0,225.1223,638.3501,7230.6449
1613807926,190,184,1,1,1,0,227.2720,693.2947,10997.8615
165817984,193,187,1,1,0,0,211.6075,615.0264,11016.7215
2083508952,191,188,1,1,0,0,211.9846,618.5674,12327.3476
1584620834,175,172,1,1,0,0,214.3950,618.7848,7224.8862
788873992,186,184,1,1,0,0,213.9782,617.7964,11383.6337
1490054177,196,194,1,1,0,0,225.2876,695.9248,11548.8669
1853886927,186,187,1,1,0,0,226.3767,625.7439,7654.1654
1450070067,184,181,1,1,0,0,225.6450,685.7890,12464.4862
1043154453,179,179,1,1,0,0,227.6320,705.4345,9643.8182
833651740,190,181,1,1,1,0,225.8648,635.6290,9950.5025
963196573,180,180,1,1,0,0,224.4109,613.6728,10465.0944
550275718,186,182,1,1,0,0,213.4447,620.7963,8905.6373
878645534,194,184,1,1,4,0,220.2146,683.2126,7640.3920
578480814,200,194,1,1,0,0,227.8874,628.6354,12570.3013
1131530820,185,184,1,1,0,0,226.8914,621.0459,7702.0598
897033453,200,195,1,1,1,0,226.4082,632.0313,7390.4522
1144913338,199,194,1,1,0,0,225.7819,620.2219,9307.2006
1983445889,186,184,1,1,0,0,226.7350,624.2768,8738.3557
2062528241,185,184,1,1,1,0,224.8373,696.3080,11940.3202
2117584787,186,184,1,1,0,0,225.6732,623.8513,8139.1869
1801826108,181,179,1,1,0,0,226.4208,686.4001,7110.7267
897299084,178,179,1,1,0,0,225.7964,618.4525,7411.4209
1353490755,179,174,1,1,1,0,225.3867,621.4807,6890.2408
46382601,187,182,1,1,1,0,226.0458,633.9800,6733.3936
1926755854,186,187,1,1,0,0,227.2244,619.8086,8100.1774
1177585667,181,180,1,1,0,1,228.2524,691.9358,8660.8860
508757007,179,177,1,1,0,0,226.8107,622.6228,10965.3181
1880651746,187,185,1,1,0,0,230.9472,623.6255,11198.8931
595320673,191,190,1,1,0,0,226.1635,626.2133,7868.3790
1187991634,186,183,1,1,0,0,226.1235,626.7489,9224.5584
1425988324,183,182,1,1,0,0,226.6157,620.2928,12352.0658
1080024528,179,179,1,1,0,0,226.5740,636.3247,10994.2730
1262993330,179,180,1,1,0,0,225.9093,625.0504,7628.6037
288600440,182,183,1,1,0,0,226.3847,619.5743,7202.1509
393995152,198,185,1,1,0,0,228.1529,700.9540,11805.3941
335857371,205,198,1,1,1,0,226.6682,630.6308,10512.7026
132917536,187,182,1,1,0,0,228.1288,628.2542,11133.9092
169179811,187,176,1,1,3,0,226.6870,671.6142,7228.9537
47970864,181,180,1,1,0,0,226.7273,642.6078,10491.6870
1883882287,196,191,1,1,0,0,227.1047,632.5445,6985.1676
550605388,185,179,1,1,0,0,227.0049,627.4853,9623.5801
379788472,178,177,1,1,0,0,228.0649,623.1194,7139.3667
802206214,179,181,1,1,0,0,227.2764,642.5017,8644.3443
414172306,188,182,1,1,0,0,227.4546,701.8938,6882.3085
88509052,174,171,1,1,0,0,227.2675,631.0985,11189.8271
2001789861,185,183,1,1,0,0,228.4976,622.6469,7501.2895
863902609,185,185,1,1,0,0,228.7504,628.0756,10829.0881
1365536639,188,181,1,1,2,0,230.9877,651.7455,11204.4684
1359052540,179,179,1,1,0,0,228.9963,618.8933,7868.5004
12866273,181,177,1,1,0,0,229.5619,623.0504,9936.4544
506993596,182,180,1,1,0,0,228.3183,637.4860,11059.5330
412422469,204,197,1,1,0,0,230.2790,641.5961,13857.6724
1447298192,200,192,1,1,1,0,228.2610,638.0936,12036.8272
58023852,183,184,1,1,0,0,227.6961,631.5858,7683.8551
616273779,185,185,1,1,0,0,227.0398,626.2864,9754.7826
967207457,181,175,1,1,0,0,229.1488,623.5117,7522.6398
609707363,192,187,1,1,0,0,228.0692,623.7386,7875.7173
343548277,185,183,1,1,0,0,228.6957,697.2347,9813.9172
673928774,203,203,1,1,0,0,215.3750,632.5384,9395.9806
947344636,183,182,1,1,0,0,227.4854,626.1536,7386.6535
2071571360,184,182,1,1,0,0,214.2256,634.2955,9254.5902
289225583,196,195,1,1,0,0,216.1557,646.6804,10519.6042
2139792404,188,180,1,1,0,0,215.2300,710.5632,9189.5303
811536920,171,170,1,1,0,0,213.6070,625.0309,7245.5560
1662976528,183,178,1,1,0,0,213.9799,628.1307,7590.7115
1398133987,183,178,1,1,2,0,216.5192,648.7101,6130.2830
1138167244,173,172,1,1,0,0,217.5950,629.7184,9962.8576
894402585,203,196,1,1,0,0,215.0293,724.4114,10619.6817
1579148368,191,186,1,1,0,0,214.6800,628.8298,12766.3764
543193849,181,176,1,1,0,0,217.4470,627.6296,7084.1494
1979930091,183,176,1,1,0,0,215.5281,626.3384,7697.9187
486271205,179,175,1,1,0,0,213.2354,631.2403,12138.3999
1723445716,187,186,1,1,0,0,214.1494,625.8739,11094.3492
510019569,184,177,1,1,1,0,215.0684,635.0150,11014.8425
1429850836,207,191,1,1,6,0,216.3034,752.1485,8178.5739
656508304,170,170,1,1,0,0,214.5448,624.1452,6811.9963
494157409,182,176,1,1,0,0,214.9445,641.8502,8464.4965
931712456,189,179,1,1,0,0,213.8148,635.9428,10202.6691
227378057,192,190,1,1,0,0,219.0171,629.4540,7526.9756
1677327347,192,186,1,1,0,0,212.5073,635.9786,7474.6833
783161618,188,178,1,1,0,0,214.3330,635.0109,11826.2555
1355367847,185,183,1,1,0,0,213.6771,638.5995,7071.5296
1638329911,199,187,1,1,2,0,218.6189,647.8581,9555.4947
697031240,191,183,1,1,0,0,214.7408,630.1630,10805.5219
126197612,187,186,1,1,0,0,214.4547,629.8861,7306.3795
1393558012,179,171,1,1,0,0,213.5803,630.0177,8697.8402
1852930496,196,192,1,1,0,0,214.5819,634.6428,7279.0878
312091395,196,187,1,1,3,0,214.9051,676.4949,7522.0488
566828599,206,197,1,1,0,0,214.2375,701.3464,7296.4820
776211525,180,176,1,1,0,0,215.2574,642.1881,7767.1823
2011099792,191,185,1,1,0,0,214.7835,630.7295,6248.4105
1039669097,216,199,1,1,0,0,213.6385,628.9912,10230.7819
2021332512,187,187,1,1,0,0,214.8966,639.8783,13123.2340
1435962476,188,180,1,1,0,0,217.4304,703.9558,10101.8663
28652302,213,190,1,1,0,0,224.6486,710.4395,8683.7881
1968931231,199,192,1,1,1,0,216.2540,635.2836,10824.3170
