inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1701303476,268,189,1,1,1,0,50.9318,147.7653,1272.0465
505628541,181,169,1,1,0,0,46.5272,145.2619,1227.7476
797596457,213,170,1,1,0,0,47.0507,139.3771,1255.2344
2035793211,183,169,1,1,0,0,46.7933,138.5243,1288.4479
1894077978,198,173,1,1,0,0,44.0029,141.5770,1205.5913
519748837,229,176,1,1,0,0,44.6287,145.7715,1254.7263
21277857,195,159,1,1,0,0,42.8203,153.9158,1328.6429
1710451381,183,152,1,1,0,0,41.9211,145.4999,1217.7327
2007519886,207,181,1,1,0,0,47.9885,148.5435,1212.4096
1030670531,160,159,1,1,0,0,46.6339,140.0259,1211.6075
322137773,202,157,1,1,0,0,46.8491,148.3717,1284.0162
689566352,244,194,1,1,0,0,46.3927,142.1012,1266.3292
1469142020,201,167,1,1,0,0,47.5644,140.3867,1320.6866
797339142,200,175,1,1,0,0,45.1798,141.2959,1245.6246
1694983470,207,183,1,1,0,0,46.2354,140.6956,1218.2452
1750907626,230,196,1,1,0,0,44.6795,147.6832,1172.8442
755829249,242,212,1,1,0,0,45.7886,140.3226,1290.8424
1325310543,206,168,1,1,2,0,45.2950,143.6273,1244.2523
798533364,200,171,1,1,2,0,44.9265,284.9495,1313.8840
1679431852,234,189,1,1,0,0,46.9493,142.3837,1178.5092
232569757,266,176,1,1,0,0,44.0391,138.1251,1247.0423
757494092,232,163,1,1,0,0,49.6867,150.9772,1215.5235
244395394,191,170,1,1,0,0,45.4303,138.1065,1290.3443
517341472,232,186,1,1,0,0,48.6667,153.4894,1382.7663
1904385271,199,174,1,1,0,0,42.3338,146.6577,1283.4667
1391722606,247,197,1,1,0,0,43.1880,141.5071,1223.7583
776181813,200,158,1,1,0,0,40.9811,212.6196,1277.5657
1377699324,201,164,1,1,0,0,41.4026,150.5528,1386.8366
1087515030,215,172,1,1,0,0,41.4464,151.5025,1304.4460
2109625957,198,173,1,1,0,0,43.5925,149.1128,1244.1807
350656507,187,163,1,1,0,0,41.1928,218.2665,1240.7513
817732023,217,192,1,1,0,0,40.7143,287.4386,1314.6283
1478867520,206,167,1,1,0,0,41.5307,142.0405,1247.0647
848393533,191,176,1,1,0,0,41.0600,141.8614,1414.5525
1863852282,201,162,1,1,0,0,43.5322,148.7964,1201.8967
141896490,238,192,1,1,0,0,48.3737,151.3406,1375.1590
463544342,253,194,1,1,1,0,42.6494,222.8290,1342.3417
776803259,166,149,1,1,0,0,45.0160,212.6620,1287.9864
266654143,256,207,1,1,0,0,47.8667,211.5475,1154.8754
1751832830,196,171,1,1,0,0,45.8167,140.2642,1180.9394
338382071,203,178,1,1,0,0,46.5925,148.3293,1205.6756
2117091728,194,161,1,1,0,0,45.9655,140.2165,1143.8162
589533569,250,184,1,1,0,0,49.9514,143.5190,1375.3559
1460234499,244,193,1,1,0,0,46.9052,148.0324,1284.4227
753060086,215,202,1,1,0,0,45.6535,210.1240,1351.6244
417753672,207,167,1,1,0,0,45.2999,141.9907,1420.1798
1009205675,231,201,1,1,0,0,45.5415,142.6740,1247.7635
1644453309,221,185,1,1,0,0,48.2339,141.2525,1238.9198
1923901314,202,173,1,2,0,1,46.9145,279.9175,51463.1032
1488152001,204,162,1,1,0,0,43.9097,148.6869,1239.3129
1541033487,247,189,1,1,10,0,42.9093,188.8613,1251.5513
1780649109,198,188,1,1,0,0,44.0264,210.0958,1297.4403
560089642,253,199,1,1,1,0,46.4232,150.9406,1250.2018
1313768928,226,197,1,1,0,0,47.7548,148.5411,1286.1867
1168861801,252,193,1,1,1,0,49.4241,159.0301,1305.2404
2122631245,217,169,1,1,3,0,47.9156,159.4116,1299.0839
1825736765,208,173,1,1,0,0,49.1693,152.0117,1323.9714
1151790945,201,171,1,1,2,0,46.6399,150.7980,1227.6120
547472299,216,183,1,1,0,0,47.6589,139.2667,1284.3098
460045118,208,160,1,1,0,0,50.3876,148.0396,1371.9443
1550986770,176,162,1,1,1,0,44.7050,142.6537,1266.0895
1103899493,244,174,1,1,1,0,51.4022,151.4809,1268.0402
1190015605,204,174,1,1,0,0,49.1224,139.6422,1251.7069
914695426,234,195,1,1,1,0,51.2159,149.4908,1150.8989
