inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
762915432,221,217,1,1,2,0,175.1135,414.9627,5297.2412
906154881,233,227,1,1,0,0,173.9676,352.4763,5051.4556
280506926,208,202,1,1,0,0,170.0706,351.8520,8925.0355
194179708,216,210,1,1,0,0,168.0760,484.6979,5892.9679
1551510031,214,209,1,1,0,0,159.0812,338.2635,4988.3745
2102856812,250,213,1,1,0,0,178.6067,349.8139,8233.2978
2081497663,214,212,1,1,0,0,169.4910,337.7225,4615.0498
1017158859,231,215,1,1,1,0,157.9345,324.3596,7002.8164
1733165235,227,224,1,1,0,0,175.4085,323.5122,6726.4442
155783824,212,210,1,1,0,0,162.9697,346.4015,5041.2057
335991080,238,223,1,1,1,0,154.8271,329.1977,7761.8944
1005385783,218,219,1,1,0,0,150.9777,467.6130,8495.8524
1278418197,232,223,1,1,0,0,149.9969,397.8395,5610.0971
1978490571,213,211,1,1,0,0,155.1992,411.6676,5533.0614
1163132064,209,200,1,1,0,0,160.5635,331.8390,5514.7546
620926769,231,219,1,1,0,0,159.7814,405.1282,5266.6510
1152743338,217,207,1,1,0,0,163.8090,350.4884,5889.1635
993568449,214,204,1,1,0,0,164.1704,408.5357,8059.0685
1252466327,224,224,1,1,0,0,158.7469,344.1511,6934.3203
343029257,227,218,1,1,0,0,157.8089,341.2595,8715.3405
584483510,198,198,1,1,0,0,183.7397,323.0311,8964.2773
787658428,210,201,1,1,0,0,162.7155,325.4173,6851.3303
2084267577,210,205,1,1,0,0,158.4173,324.9642,5115.2057
2068669650,201,201,1,1,0,0,165.7771,347.7444,6684.4986
498515734,227,220,1,1,0,0,156.7575,402.2781,9488.3398
305553111,223,216,1,1,0,0,161.3145,335.1719,4605.0655
908889753,218,213,1,1,0,0,156.9359,334.8850,6072.7553
1637698268,216,207,1,1,0,0,184.0055,340.8329,9430.7334
1479573931,210,203,1,1,0,0,185.1679,329.3714,8504.7364
1609640597,214,200,1,1,0,0,183.8752,394.6035,4531.7711
605960773,217,209,1,1,1,0,184.1273,339.5550,5013.7235
725797547,206,205,1,1,0,0,185.1230,324.5570,12323.9829
2095941425,219,209,1,1,0,0,175.5113,343.8731,9338.4606
1246163651,215,208,1,1,0,0,176.5786,495.1959,5312.8150
408809084,247,233,1,1,2,0,152.4862,330.2953,4754.7070
2145843325,231,237,1,1,0,0,152.3736,333.8931,6209.3781
718568438,209,206,1,1,0,0,149.8474,355.6661,6719.4953
603255607,214,206,1,1,0,0,149.7200,326.7303,4649.4105
89077198,222,206,1,1,1,0,149.2686,474.2482,7974.8632
838460419,202,201,1,1,0,0,148.8013,333.5408,6425.9580
2045264535,223,220,1,1,0,0,148.7272,325.9267,9928.7039
2085234693,237,232,1,1,0,0,149.1809,333.4445,5080.3767
408717708,217,213,1,1,0,0,151.7143,327.4101,4704.9331
1005168316,233,220,1,1,0,0,148.8570,402.2142,5624.5515
939697390,221,216,1,1,1,0,150.2111,331.7385,4840.6947
1862246958,223,211,1,1,1,0,149.8701,334.1100,8717.8338
1795153853,211,206,1,1,0,0,150.5652,394.1346,7187.7494
349139492,211,205,1,1,0,0,149.8204,339.2586,4542.8766
1062209054,234,220,1,1,7,0,149.4506,351.1989,4840.9806
615133158,217,214,1,1,0,0,149.8852,548.0276,8505.0994
1980876245,223,220,1,1,0,0,152.9348,330.6540,7761.9128
1879001733,216,214,1,1,0,0,150.4608,329.9693,5948.8635
1391457015,210,212,1,1,0,0,150.3409,398.8837,6634.3995
2067516977,223,210,1,1,0,0,150.9159,333.9280,10272.9962
55733823,214,213,1,1,0,0,149.9393,335.0601,5487.6441
