inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1855619727,105,104,1,1,0,0,125.7710,224.2593,3001.5319
410353911,103,101,1,1,0,0,123.3127,226.9615,3022.4703
495163209,104,102,1,1,1,0,116.4678,236.4463,2830.6829
965170465,116,112,1,1,0,0,132.6553,229.2575,2797.9308
409536649,101,101,1,1,0,0,130.1165,227.8500,2937.3021
729140410,116,116,1,1,0,0,114.2976,226.2156,2989.9047
1900497239,99,97,1,1,1,0,124.9491,236.9487,2778.1056
448714133,106,105,1,1,0,0,120.4746,240.5738,3060.1848
1276333978,118,116,1,1,0,0,118.1950,225.7372,2831.7180
1477796737,110,107,1,1,0,0,108.2726,226.6365,2882.0303
582185854,118,116,1,1,0,0,119.8056,230.8228,2939.7795
1451172778,119,119,1,1,0,0,107.8510,226.6011,3297.5446
993011277,105,103,1,1,0,0,111.3198,226.9874,2927.2316
1919049357,98,99,1,1,0,0,103.4696,228.8211,2732.0179
840958186,124,117,1,1,0,0,120.7630,227.4218,3813.7978
2045562195,105,104,1,1,0,0,127.6452,227.7013,3196.6725
2094553,110,110,1,1,0,0,122.3568,226.1362,3187.7321
280919166,107,107,1,1,0,0,109.8054,237.1716,2879.9782
1464875966,122,123,1,1,0,0,106.4088,226.4256,2989.3239
870889029,121,122,1,1,0,0,103.3997,225.4843,2824.9971
1640351285,104,103,1,1,0,0,108.2051,227.4781,2746.2058
961238894,109,105,1,1,1,0,112.4972,238.3713,5207.3281
4938340,117,115,1,1,0,0,109.9269,227.6353,4456.8201
306494845,118,110,1,1,0,0,115.4484,227.6191,3217.8945
881074045,99,100,1,1,0,0,108.9228,227.0749,3082.5986
844826947,109,109,1,1,0,0,107.9137,227.2383,2883.5126
1281234292,114,110,1,1,0,0,114.7266,226.3071,2856.1751
520555991,119,116,1,1,0,0,121.6015,227.9952,2965.9348
266401806,131,125,1,1,0,0,124.2942,230.1199,3125.6851
562450794,104,104,1,1,0,0,108.0596,233.9566,3339.7505
630256308,100,101,1,1,0,0,110.3879,227.7198,2886.1312
1657155324,118,111,1,1,0,0,107.7418,227.7247,5597.0709
1395932050,116,115,1,1,0,0,111.7310,229.0020,2777.2129
448657390,131,124,1,1,0,0,108.6619,915.1096,3158.6798
194276895,107,107,1,1,0,0,107.8022,225.7999,2661.8327
