inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1655419426,345,307,1,1,0,0,147.3944,728.2580,7352.0188
50992844,320,299,1,1,0,0,154.5572,588.4029,6535.4480
838831542,339,293,1,1,1,0,149.8794,535.9323,7045.4702
985841708,354,297,1,1,0,0,149.9858,647.9422,6591.9043
1241370958,327,295,1,1,0,0,138.0865,595.9664,6387.3984
2021350853,341,315,1,1,1,0,133.5081,723.8546,6232.6150
1882819894,350,309,1,1,0,0,138.8916,654.9323,6914.9189
980473586,324,299,1,1,0,0,133.1821,617.0672,7939.2587
372670881,330,305,1,1,0,0,137.9643,743.3610,6503.3611
164060769,342,299,1,1,0,0,131.3584,574.6237,6195.6662
1852871944,355,309,1,1,1,0,132.4119,511.6198,6719.7776
1350322249,319,289,1,1,0,0,131.4001,998.3890,7264.9439
1238070633,341,292,1,1,2,0,129.8579,733.2454,6194.7748
199052733,338,305,1,1,1,0,129.6314,505.1046,6622.6903
2097587861,341,314,1,1,0,0,131.9123,572.9408,6519.4428
453448147,330,296,1,1,1,0,132.1807,583.1108,6302.1969
398546514,352,313,1,1,0,0,132.1733,519.6266,6919.5180
221347296,345,314,1,1,2,0,136.3907,684.6743,6513.8371
1127334199,341,312,1,1,0,0,132.3784,586.8567,6297.6468
1114912832,339,304,1,1,1,0,132.3327,736.4192,6431.3528
820896719,342,293,1,1,0,0,131.1193,502.3998,6454.3905
2100641711,338,305,1,1,5,0,130.7106,707.3130,6901.7707
2018424726,358,313,1,1,0,0,131.3074,532.3583,6709.8671
1037759698,329,301,1,1,0,0,132.6999,714.6760,7221.0884
1561201492,361,311,1,1,0,0,132.7733,511.8722,6031.4483
265354603,331,300,1,1,0,0,133.6067,730.0323,6685.3813
1212888672,328,291,1,1,0,0,132.5276,501.5666,6236.2147
1032679969,345,308,1,1,1,0,134.9199,677.3599,6381.1721
1172072412,335,295,1,1,0,0,134.4344,521.0677,6803.5654
1376666696,354,303,1,1,0,0,132.5943,563.7651,6851.7813
598225035,362,297,1,1,0,0,139.0566,576.1227,5828.3298
1735217741,363,303,1,1,0,0,134.5197,516.7308,6310.3167
1101136710,363,304,1,1,14,0,132.8741,579.2890,6607.2692
85394978,342,305,1,1,2,0,132.5111,678.8376,6860.9874
1238104668,323,295,1,1,0,0,134.6885,643.2344,6488.5245
1637404541,319,295,1,1,0,0,133.0051,680.3258,6304.3905
655903381,313,296,1,1,0,0,152.5513,573.7170,6799.1922
1595219507,348,298,1,1,0,0,142.1744,574.9882,6053.1707
92836305,341,296,1,1,1,0,151.2160,664.3060,6617.0364
1963382996,341,303,1,1,0,0,152.4928,527.0295,5999.2775
128793061,341,309,1,1,1,0,134.4771,524.1216,6578.0559
405138712,359,308,1,1,0,0,133.2597,507.7690,6932.3398
1980709920,330,294,1,1,0,0,131.9332,505.5177,6321.8873
1855266558,365,309,1,1,1,0,132.1549,516.4294,7191.7881
12167854,334,313,1,1,0,0,133.4986,581.2694,6407.3972
363818339,339,299,1,1,0,0,131.2502,653.0742,6313.8631
599610593,318,300,1,1,0,0,132.8068,505.4571,6787.4948
1408932860,362,311,1,1,0,0,134.1450,581.1212,6624.4503
1282329832,341,303,1,1,1,0,131.8516,663.7150,7277.3601
1375038575,320,296,1,1,0,0,130.6546,593.8066,6897.9309
1780109488,323,305,1,1,0,0,132.0382,576.5373,7118.7229
1265982330,315,299,1,1,0,0,132.2262,780.5082,7347.4846
1744863168,345,304,1,1,0,0,143.8119,593.7904,6382.9863
373177218,363,313,1,1,0,0,133.4302,590.9046,6517.4282
1051951930,351,293,1,1,3,0,134.9691,796.2585,6880.6333
475941275,345,293,1,1,0,0,132.5875,566.8922,6423.2529
281530540,320,304,1,1,0,0,134.5929,799.6046,6249.9870
1175833918,333,290,1,1,0,0,133.9667,589.6555,6817.8343
767323111,346,307,1,1,0,0,134.5811,741.9048,7634.3570
1755968368,377,299,1,1,0,0,135.1779,643.9057,6840.4979
1950575220,350,301,1,1,0,0,131.1369,513.6219,6816.8008
1017857691,314,292,1,1,0,0,135.5242,674.6914,7236.3323
877067510,356,304,1,1,18,0,133.9278,570.9495,6735.8241
1949732328,330,298,1,1,0,0,133.8120,582.6611,6426.1638
12266828,354,297,1,1,0,0,140.1085,690.6198,6990.9212
2101493996,365,318,1,1,2,0,132.0984,604.0199,6895.3396
1503476069,345,305,1,1,0,0,133.1201,509.5725,6829.6363
48187128,356,312,1,1,0,0,132.4050,659.6755,6508.0320
813016802,323,291,1,1,0,0,132.3881,712.2100,6715.7534
1524943160,326,288,1,1,0,0,131.8546,662.5849,6246.5227
615291709,370,305,1,1,1,0,133.7463,659.9141,8001.2153
1903416055,356,306,1,1,0,0,132.1688,664.3669,6268.8084
1976834985,342,301,1,1,0,0,132.8223,666.1629,6733.6432
306033059,346,300,1,1,1,0,132.9080,583.1547,6871.5628
636328103,312,288,1,1,0,0,132.6304,887.3063,6377.0661
1254681740,312,292,1,1,0,0,133.3299,875.2350,6404.1849
1514771352,375,307,1,1,0,0,133.7899,603.2289,6440.5518
1071721940,324,285,1,1,0,0,132.8760,525.2138,7466.4491
1824111022,338,304,1,1,0,0,133.9763,750.8570,6329.3118
1703287991,338,301,1,1,0,0,132.9018,660.2404,6725.5523
407698840,364,301,1,1,0,0,133.2104,650.0547,6437.7059
118755204,330,299,1,1,0,0,134.8968,597.4911,7981.8509
2113843071,335,307,1,1,0,0,134.9791,702.2225,5846.1416
746843986,340,305,1,1,0,0,134.3056,788.0994,6469.0667
2096161918,347,283,1,1,3,0,134.3615,671.1435,6805.8854
1553039868,338,307,1,1,0,0,131.8452,647.9066,6884.2952
1654249726,346,312,1,1,0,0,131.6085,739.4636,6651.5628
675933557,341,306,1,1,0,0,133.5949,656.6142,6781.6142
1612263604,332,304,1,1,0,0,131.6669,529.2330,7089.2808
415632564,339,303,1,1,0,0,131.3046,524.5206,6852.5690
485530724,367,319,1,1,0,0,135.9124,586.5346,6795.7049
1171412187,329,296,1,1,1,0,132.2195,528.8704,6958.4934
543743091,320,298,1,1,0,0,132.9854,529.3771,6954.6043
30466118,322,306,1,1,0,0,133.9819,588.5046,6965.2591
2048190450,361,305,1,1,0,0,131.3731,723.7040,6691.1819
496704129,357,311,1,1,1,0,134.3546,596.8291,6465.1599
