inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
1855619727,189,107,1,1,1,0,121.0987,237.5437,3650.6242
410353911,194,105,1,1,2,0,115.5488,251.7081,2968.3634
495163209,262,104,1,1,0,0,109.1953,301.1649,2909.9665
965170465,291,115,1,1,28,0,109.9188,607.3977,3247.1408
409536649,251,112,1,1,2,0,111.5464,255.8195,2796.1956
729140410,187,111,1,1,0,0,105.0563,229.7529,2830.0923
1900497239,189,109,1,1,3,0,116.3146,280.2130,2843.2571
448714133,220,108,1,1,0,0,108.9167,228.0066,2972.5732
1276333978,197,119,1,1,1,0,106.5080,239.7223,2942.4785
1477796737,197,100,1,1,0,0,112.4714,229.4910,2707.1256
582185854,184,92,1,1,0,0,125.0924,229.5530,2890.6545
993011277,229,123,1,1,0,0,123.3824,233.2360,3140.8604
840958186,233,116,1,1,3,0,119.9012,255.9515,3294.4433
2045562195,156,101,1,1,0,0,108.4586,234.7549,2939.1625
280919166,233,110,1,1,2,0,112.0431,244.3774,2870.0077
1464875966,151,97,1,1,1,0,106.2709,238.7676,2843.2322
1640351285,199,101,1,1,0,0,110.6830,242.0012,2931.3366
961238894,293,124,1,1,0,0,105.6468,233.9570,4232.5151
4938340,205,102,1,1,6,0,104.4745,275.9126,5167.4100
306494845,192,112,1,1,1,0,106.5203,241.2625,2977.2590
881074045,171,102,1,1,0,0,105.8116,229.4281,2799.1742
844826947,223,118,1,1,0,0,113.2922,235.0169,3272.3720
1281234292,236,101,1,1,2,0,107.4988,280.8075,2862.7019
520555991,188,135,1,1,1,0,104.5416,247.6737,3060.3405
562450794,175,119,1,1,0,0,110.3210,231.9425,3069.6790
1657155324,181,100,1,1,0,0,112.3029,299.8009,2851.3188
1395932050,242,122,1,1,9,0,109.5128,332.3616,2906.2146
448657390,218,121,1,1,0,0,110.1058,237.8738,3139.4656
194276895,177,126,1,1,0,0,109.8220,237.7677,2979.1357
1623245829,153,115,1,1,1,0,112.0476,232.2249,3199.0431
163167001,200,122,1,1,9,0,113.3481,316.0797,4278.3159
640819667,150,110,1,1,0,0,122.8140,235.3827,3009.2572
250378079,204,101,1,1,6,0,111.7014,293.9828,2931.9261
284155700,166,95,1,1,1,0,111.9973,239.9991,2824.0551
1139792323,166,117,1,1,0,0,107.8966,236.8996,2986.8195
602171930,166,106,1,1,1,0,106.0002,256.6602,2714.4794
1359325169,202,124,1,1,1,0,110.4968,241.5612,3088.5813
748700315,187,118,1,1,3,0,106.7585,264.4345,2893.1264
1840661763,127,97,1,1,0,0,109.1172,230.2462,2823.1388
1617526643,208,101,1,1,1,0,109.3072,254.8708,2955.8969
974357715,189,112,1,1,1,0,118.1904,241.1311,2715.3763
1207798414,154,103,1,1,0,0,104.4422,231.4397,3416.9330
283092723,237,126,1,1,1,0,118.9568,254.7480,3006.6790
1168803576,171,92,1,1,0,0,112.3740,233.5454,3053.9884
1777773535,221,108,1,1,0,0,117.2593,235.1365,2757.4518
1683845126,219,109,1,1,0,0,115.5260,236.9437,2941.6445
1039885855,199,122,1,1,0,0,108.2335,234.9076,2988.2395
1495017086,242,117,1,1,0,0,106.1446,237.3907,2857.4485
751890186,209,125,1,1,0,0,114.9362,234.0528,3369.6979
2022966873,151,96,1,1,1,0,129.4104,245.2848,2758.5210
343065097,163,91,1,1,0,0,108.3860,233.9720,3172.0556
162327753,159,119,1,1,0,0,107.8824,242.0101,3186.2638
1538420807,211,110,1,1,0,0,115.8650,233.9188,2867.8174
893344168,221,103,1,1,1,0,106.2638,253.2937,3281.9478
1003702740,160,112,1,1,7,0,105.3564,300.3363,2946.9643
1514824138,167,117,1,1,3,0,115.3958,267.0517,2666.8204
1778751556,198,104,1,1,0,0,123.6457,237.2712,2942.1986
1735896736,162,125,1,1,0,0,104.1046,235.3199,2888.9454
1755233975,156,101,1,1,0,0,123.4978,241.1544,2912.7089
1459875880,219,125,1,1,0,0,111.6960,236.3452,2867.9847
331045220,241,112,1,1,0,0,114.0358,244.0372,3176.8694
1632950564,163,88,1,1,3,0,130.9570,273.9227,2931.0524
1919626504,204,125,1,1,3,0,132.9013,239.9766,2749.8568
2000103625,207,114,1,1,0,0,129.9976,248.8503,3413.4839
1324210318,175,121,1,1,0,0,120.6610,234.3956,2753.6714
646741364,113,100,1,1,0,0,107.6879,234.3518,2823.0828
1606847906,176,113,1,1,0,0,104.2266,233.3314,2850.4636
111510605,232,101,1,1,2,0,104.8187,267.1684,2844.9843
1683412502,201,118,1,1,0,0,118.0345,240.1894,2763.2412
1004534100,180,99,1,1,0,0,107.5140,232.6781,3176.4706
977951389,190,110,1,1,0,0,115.7950,232.8917,3267.6259
2118443425,192,101,1,1,0,0,128.5112,240.5595,2734.4267
41360821,227,123,1,1,1,0,109.9715,240.4120,3098.7900
1050680306,186,109,1,1,1,0,134.2523,242.4215,2795.4038
1640518259,309,117,1,1,5,0,134.0502,331.0019,2917.6808
785760227,185,102,1,1,1,0,125.2578,237.3867,2968.2510
1538321078,197,108,1,1,1,0,131.7356,245.8480,2994.5795
1262070471,133,111,1,1,0,0,113.6683,231.2626,3119.2071
2731092,164,127,1,1,0,0,117.9928,231.5171,3127.3750
1611317663,176,121,1,1,0,0,113.2284,231.9696,3018.4021
302537109,230,126,1,1,3,0,105.1799,236.9346,3017.6297
83227594,186,114,1,3,2,6,120.4014,257.1398,228123.5375
425769593,237,109,1,1,0,0,112.1974,238.2580,3031.1075
1776249662,167,110,1,1,0,0,109.2605,239.7814,3205.4352
1520012949,198,100,1,1,0,0,111.5037,232.9263,3040.9376
1898574178,140,121,1,1,0,0,111.4431,230.9405,2896.1685
1358447673,183,105,1,1,1,0,118.8731,232.2228,3043.6884
1385461585,165,103,1,1,0,0,117.7809,232.0241,2991.1577
205662166,183,106,1,1,0,0,111.1194,232.0485,2710.0715
418859236,209,122,1,1,1,0,111.1434,241.5043,3182.8632
1443550729,160,95,1,1,0,0,111.7127,232.0211,3386.2123
224812354,188,113,1,1,0,0,117.6639,232.4001,3034.8898
1622272880,221,114,1,1,0,0,111.3834,235.4547,5589.7046
331600517,212,121,1,1,1,0,111.3993,245.9701,4668.2323
1043237075,209,115,1,1,6,0,111.4401,303.8826,3082.1211
1056087192,197,126,1,1,0,0,111.1185,241.9776,3087.0313
943361303,208,120,1,1,0,0,111.4038,234.3330,4260.4106
109097643,158,108,1,1,0,0,106.3125,234.6417,3126.4454
1859406496,177,98,1,1,4,0,105.5934,249.2998,2815.9284
401422221,193,112,1,1,1,0,118.9229,248.5620,4035.1145
1374987105,174,119,1,1,1,0,111.7946,236.8718,3042.1163
1546058360,156,83,1,1,0,0,120.2338,234.2295,2831.2538
1639616017,128,84,1,1,0,0,108.8992,237.7116,3062.1260
1433950864,245,117,1,1,6,0,105.4351,319.9648,3107.1088
98939815,266,117,2,1,72,0,104.9171,119437.9643,2841.0189
568589138,173,116,1,1,0,0,107.5962,235.4803,2917.0678
71515432,191,101,1,1,0,0,122.6751,233.2854,2848.1841
1944318813,202,118,1,1,0,0,114.4865,234.3943,2883.5853
651464158,212,111,1,1,1,0,109.3058,240.5206,2929.9659
130196564,175,101,1,1,0,0,123.4634,234.5575,3275.2905
1960806537,175,118,1,1,0,0,140.6017,235.8926,3005.9097
1702132289,152,106,1,1,0,0,125.2413,231.2339,3001.9198
632835190,210,108,1,1,2,0,180.0798,239.3273,3050.0108
497014942,217,118,1,1,3,0,127.0507,243.5964,3170.5601
433375962,280,107,1,1,1,0,127.8353,267.7900,2910.8074
1725273459,170,119,1,1,0,0,106.8478,239.9915,3026.9645
508138115,219,119,1,1,0,0,124.9533,309.5698,2973.7241
940247102,232,97,1,1,6,0,129.2650,305.3122,3250.7606
498194365,164,103,1,1,0,0,126.1921,308.3382,2874.4724
200870952,182,108,1,1,4,0,120.1279,278.2837,2940.7338
690602477,190,108,1,1,0,0,118.0682,233.9113,3377.7160
1248570662,138,108,1,1,0,0,124.9174,231.7429,2727.4376
1400605661,125,95,1,1,0,0,120.1901,236.0968,2923.5193
1596575303,141,101,1,1,0,0,112.7646,239.6955,3176.8265
1320557478,209,123,1,1,1,0,105.4375,245.6140,2965.3633
514933716,179,105,1,1,0,0,106.4348,964.4510,2888.2022
639633769,255,123,1,1,0,0,105.4567,237.3452,2776.7825
1385818326,167,118,1,1,0,0,105.5393,229.5026,3019.4922
1756973926,139,104,1,1,0,0,115.8097,228.1486,3318.2951
1214132369,239,109,1,1,1,0,107.0455,252.8152,2922.4656
35218013,145,111,1,1,0,0,110.5362,231.6494,2778.2429
1190774790,166,110,1,1,0,0,110.1123,231.9212,3054.4399
1953100143,264,119,1,1,1,0,112.5422,245.5588,3006.5096
811512220,151,114,1,1,0,0,127.0334,231.3107,3265.4994
609914679,166,109,1,1,0,0,125.0055,233.1545,3147.1815
997023857,202,101,1,1,0,0,126.9266,301.8142,2781.2379
251759351,227,109,1,1,0,0,130.1534,307.4506,3021.8777
1300490197,158,122,1,1,0,0,136.2825,234.1434,2923.0276
1727558190,187,105,1,1,0,0,128.9473,239.3509,2863.7718
274842427,188,116,1,1,0,0,136.6370,232.9320,3178.0989
951417239,327,113,1,1,1,0,134.3789,260.3663,3149.2050
1421654007,126,104,1,1,0,0,130.9726,231.6025,3217.8041
754708614,230,109,1,1,0,0,129.2706,235.0815,3098.9490
185022145,273,115,1,1,0,0,135.8891,236.8762,3045.4767
1246217468,189,111,1,1,2,0,137.2785,251.6266,4162.4949
237014445,229,99,1,1,0,0,131.3610,235.2409,2748.1054
1890537262,186,123,1,1,1,0,130.5033,236.6812,3224.5037
345186772,193,101,1,1,0,0,130.8241,236.7129,2849.2437
2042070801,309,121,1,1,6,0,129.5265,369.6187,4107.2631
103904839,232,114,1,1,0,0,127.3390,234.9206,3309.3621
1377908446,180,118,1,1,0,0,126.0658,240.3774,3034.8331
531762536,250,104,1,1,0,0,127.2019,234.7361,2750.2840
1512382639,253,118,1,1,6,0,126.5203,269.0752,3346.3240
