inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
762915432,223,217,1,1,0,0,172.0279,406.2491,5254.0592
906154881,233,227,1,1,0,0,167.7965,352.9857,5052.0326
280506926,202,202,1,1,0,0,161.7304,329.2234,8857.6151
194179708,217,210,1,1,0,0,171.1349,398.2398,5847.7871
1551510031,222,209,1,1,0,0,161.9391,332.3589,4956.9713
2102856812,224,213,1,1,0,0,163.2739,406.3342,8143.1741
2081497663,220,212,1,1,0,0,163.8095,331.0191,4599.6609
1017158859,219,215,1,1,0,0,161.5677,321.1338,6992.1186
1733165235,255,224,1,1,2,0,151.9226,465.8648,6676.7363
155783824,217,210,1,1,0,0,158.7266,336.1689,5007.6104
1005385783,235,219,1,1,0,0,170.9529,398.0001,8462.3315
1278418197,243,223,1,1,2,0,178.3722,334.2793,5583.7485
1163132064,216,200,1,1,1,0,173.7162,340.1307,5524.4828
620926769,252,219,1,1,0,0,168.0693,397.4365,5247.2279
1152743338,210,207,1,1,0,0,159.6917,340.3596,5875.7971
993568449,215,204,1,1,0,0,160.0009,338.9236,7997.9812
1252466327,229,224,1,1,0,0,170.3684,339.0640,6886.4956
343029257,229,218,1,1,0,0,165.0832,334.2564,8676.2171
584483510,204,198,1,1,0,0,182.9498,326.8962,8881.8203
787658428,205,201,1,1,0,0,164.4028,333.9628,6823.7439
2084267577,206,205,1,1,0,0,166.9412,324.8087,5118.0918
2068669650,202,201,1,1,0,0,162.2596,334.4920,6651.1178
498515734,237,220,1,1,0,0,170.0988,406.9623,9458.5953
305553111,228,216,1,1,0,0,166.2499,339.3575,4592.5410
908889753,218,213,1,1,0,0,166.8569,323.1789,6035.0577
1637698268,210,207,1,1,0,0,164.1856,408.3151,9385.4125
1479573931,226,203,1,1,0,0,172.0930,324.2978,8450.6541
1609640597,226,200,1,1,0,0,154.2397,397.7892,4519.8715
605960773,229,209,1,1,3,0,148.3870,393.6429,5030.1893
725797547,213,205,1,1,1,0,160.9151,406.3788,12306.3677
2095941425,211,209,1,1,0,0,167.9182,332.9413,9176.8962
1246163651,217,208,1,1,0,0,156.8181,398.9889,5319.4494
408809084,247,233,1,1,0,0,158.5568,324.2817,4754.1124
2145843325,233,237,1,1,0,0,148.7587,325.5668,6157.8712
718568438,211,206,1,1,0,0,160.5576,335.4882,6675.0852
603255607,212,206,1,1,0,0,166.0589,333.8702,4646.8790
89077198,216,206,1,1,1,0,161.1369,394.4627,7964.7583
838460419,202,201,1,1,0,0,161.7284,336.6338,6432.5405
2045264535,231,220,1,1,0,0,162.8860,328.0849,9947.8399
2085234693,240,232,1,1,1,0,156.3262,338.2694,5136.1301
408717708,214,213,1,1,0,0,170.7297,327.4608,4726.7348
1005168316,237,220,1,1,0,0,154.9872,326.5542,5630.9533
939697390,219,216,1,1,0,0,158.1205,397.3868,4846.0431
1862246958,228,211,1,1,1,0,157.2760,333.5714,8710.8273
1795153853,210,206,1,1,0,0,155.7730,402.0360,7195.1006
349139492,213,205,1,1,0,0,155.8425,399.5597,4598.7647
1062209054,236,220,1,1,0,0,155.9918,334.5254,4844.1793
615133158,220,214,1,1,1,0,151.4481,422.5580,8473.9759
1980876245,222,220,1,1,0,0,154.2707,327.2264,7744.1280
1879001733,214,214,1,1,0,0,157.3642,329.0524,5975.4292
1391457015,220,212,1,1,0,0,156.1948,329.5237,6680.4456
2067516977,228,210,1,1,0,0,154.1997,335.8473,10292.6130
55733823,216,213,1,1,0,0,153.3857,337.6512,5532.0088
523711179,248,237,1,1,1,0,152.3420,342.0216,6707.4035
926259585,256,238,1,1,0,0,149.4123,397.5419,6195.3968
366875716,221,206,1,1,0,0,155.4518,403.3216,6412.1788
2071788428,214,203,1,1,0,0,153.9364,397.4009,5485.9194
1324245408,240,230,1,1,0,0,153.2692,327.9450,5771.6973
736570995,220,216,1,1,0,0,150.4421,340.0029,4842.0605
826758183,216,211,1,1,0,0,154.3227,332.0486,8245.4062
1963162736,239,219,1,1,0,0,152.4766,414.0832,5855.0330
390486595,227,229,1,1,0,0,150.8086,352.6210,6774.0421
381495527,203,201,1,1,0,0,148.6888,333.9601,6298.2862
748877038,228,219,1,1,0,0,160.4499,401.6073,8400.4643
1699388283,218,207,1,1,0,0,162.8490,403.1751,6878.1230
2118413490,235,218,1,1,0,0,159.7759,338.8870,5234.8042
366394066,233,226,1,1,1,0,158.8340,403.8548,5073.6078
1045818243,225,209,1,1,1,0,160.1666,355.7430,9515.8835
1207885855,248,225,1,1,0,0,154.2180,413.0449,4204.8160
1391078983,221,218,1,1,0,0,152.6879,333.7879,9211.8987
243970356,244,220,1,1,0,0,153.7015,394.8489,7386.1707
2008191224,234,220,1,1,1,0,164.6639,338.2688,7563.6493
1629063731,234,221,1,1,0,0,151.9229,533.3898,5090.6340
678002147,222,214,1,1,1,0,159.5604,354.1317,6608.2235
843240629,221,211,1,1,0,0,158.7617,329.1536,5227.4926
1351188588,220,209,1,1,0,0,156.5760,343.5273,7675.7753
1653935096,217,207,1,1,1,0,164.9039,340.7090,9007.6921
1030034979,211,204,1,1,0,0,169.9485,397.1653,11872.3623
364833998,217,215,1,1,0,0,156.3878,335.7019,7778.4268
545683251,222,219,1,1,0,0,157.1167,329.1050,6398.8700
522624218,226,213,1,1,0,0,163.1803,402.0590,5445.2342
1734172201,234,214,1,1,0,0,169.1187,397.5914,5311.6043
1198347773,248,221,1,1,1,0,163.3404,356.9506,6120.4522
1311698010,239,226,1,1,3,0,162.5293,432.4930,5982.1791
1367551166,207,201,1,1,0,0,160.1783,330.0930,7378.5221
1816764609,208,199,1,2,0,1,159.7076,328.9508,375830.0214
1886555572,207,206,1,1,0,0,159.6868,400.0233,8639.7370
2006167446,210,208,1,1,0,0,162.4892,334.2265,6262.9782
1796573057,208,202,1,1,0,0,155.2190,336.2882,5707.5044
812463620,223,214,1,1,0,0,158.5927,400.9264,5679.9726
148279940,222,214,1,1,0,0,158.4173,330.0540,7159.9675
94316096,218,209,1,1,0,0,161.7833,339.0505,8237.8505
856014847,242,230,1,1,1,0,153.4700,342.7462,5468.9571
811157079,227,223,1,1,0,0,150.0500,337.9305,4907.0796
880236837,218,202,1,1,0,0,157.9791,331.9288,5116.7361
1387896192,256,231,1,1,0,0,158.6327,408.0873,4603.3350
1613209999,216,211,1,1,0,0,155.9391,341.9249,9009.3973
2091123672,213,209,1,1,0,0,157.1062,402.3285,5176.0240
1071809632,216,209,1,1,0,0,153.3527,339.2642,6997.8038
549673455,209,206,1,1,0,0,149.5593,337.0832,6002.6110
930462095,232,224,1,1,0,0,161.4836,406.0056,5840.1385
141358911,222,211,1,1,0,0,156.0835,353.5336,6475.7731
1842230301,209,202,1,1,0,0,156.0342,344.1502,8507.5730
2037809406,214,210,1,1,0,0,149.5287,330.0941,8354.6267
1980395924,218,209,1,1,0,0,150.4563,327.5700,6871.0247
1373810488,226,218,1,1,1,0,148.5244,336.9589,5329.4562
48948695,223,211,1,1,0,0,148.7900,396.3780,7820.4668
238499717,225,216,1,1,0,0,153.6599,332.0879,7998.3753
970612597,228,216,1,1,0,0,151.7641,344.3789,5229.0361
540906427,238,226,1,1,0,0,153.2397,537.4795,9578.1033
524372645,219,207,1,1,0,0,151.5310,400.9646,4715.4588
47848951,254,234,1,1,0,0,150.7488,332.0070,9736.8440
560568209,248,220,1,1,0,0,152.3572,338.4197,4839.6086
1552009538,218,209,1,1,0,0,149.0883,365.1333,7771.7756
1632885214,217,217,1,1,0,0,150.6619,330.8725,7488.3349
1618046501,210,207,1,1,0,0,149.3216,411.7987,6636.7723
1750777633,216,200,1,1,0,0,150.8422,348.7163,5222.3524
1292237177,234,218,1,1,0,0,154.2703,352.2734,5551.4511
1056779383,216,214,1,1,0,0,150.3668,354.5733,8077.3045
244550641,209,202,3,1,0,0,149.4778,186212.0699,6371.9851
863626010,204,197,1,1,0,0,152.5864,327.3713,5146.9323
1206365063,217,214,1,1,0,0,148.0244,330.4655,4996.9775
123219927,230,218,1,1,0,0,147.7047,337.0058,4637.9606
1261112378,242,216,1,1,0,0,147.8475,338.7166,5247.7334
2087158136,210,208,1,1,0,0,147.6410,414.1041,5211.1399
1801147494,229,207,1,1,1,0,148.1894,352.3224,5170.0782
701351108,218,217,1,1,0,0,152.8515,329.1611,5167.2922
905034874,226,209,1,1,2,0,147.1634,346.6334,4804.5932
22339841,227,222,1,1,0,0,146.8876,353.1099,6165.8504
1681553577,222,219,1,1,0,0,158.4636,328.8361,5352.0967
1776224575,209,200,1,1,0,0,155.2651,333.6487,7299.2049
1277261520,226,210,1,1,0,0,154.3606,343.6072,5820.1747
1764102102,216,213,1,1,0,0,154.9094,410.2128,6366.8507
285397798,209,208,1,1,0,0,155.2445,403.3330,4889.0787
683672742,223,220,1,1,0,0,147.4399,330.5160,4610.2840
158463288,228,219,1,1,4,0,146.3344,438.0153,5741.0388
1460363435,234,223,1,1,0,0,147.8159,403.3065,5643.7318
282788049,214,204,1,1,0,0,146.4538,327.3641,5567.3052
