inst_seed,cost_nn,cost_solver,nn_k,solver_k,conflicts_nn,conflicts_solver,alloc_ms,nn_plan_ms,solver_ms
126827386,285,283,1,1,0,0,245.9946,464.1848,9168.6668
761329787,289,276,1,1,1,0,242.2265,355.0994,8040.6535
558641285,289,283,1,1,0,0,252.2818,374.8725,8160.0165
91639066,318,292,1,1,1,0,239.2728,428.3940,13381.4517
1536643814,282,279,1,1,0,0,238.3374,434.3645,7584.1076
1074241974,328,293,3,1,0,0,242.1690,509387.4450,8288.5480
618607571,317,294,1,1,0,0,218.8234,349.8521,8694.6744
645431201,277,267,1,1,0,0,221.8062,458.4829,7711.6629
460216217,309,283,1,1,2,0,223.0646,415.5728,8236.7379
268052889,273,267,1,1,0,0,372.4771,426.5579,8346.1575
514366596,289,267,2,1,0,0,307.9213,260642.0094,15351.9183
1581365966,291,284,1,1,1,0,386.6632,561.5061,10948.3236
1920718706,320,295,1,1,1,0,336.0019,411.3557,12995.5700
1284431749,280,278,1,1,0,0,372.5271,472.0138,9711.2618
1187895230,316,296,1,1,0,0,350.9028,416.9440,12053.7973
1690803105,308,284,1,1,0,0,338.4109,481.1651,12716.5879
481316619,282,270,1,1,0,0,315.3644,397.4117,12441.9876
2050784128,280,274,1,1,0,0,305.2168,486.6617,12233.0510
768995891,305,297,1,1,0,0,311.9857,414.3152,12529.4960
2081487829,278,269,1,1,0,0,380.3600,542.9204,14019.9914
1616441113,292,276,1,1,2,0,407.3279,584.7465,10318.1874
700238667,285,278,1,1,0,0,345.9276,632.8140,13368.1121
203605301,290,274,1,1,2,0,323.0419,563.2985,13495.5664
733507883,290,265,1,1,0,0,320.0688,486.8462,9475.2798
480402477,270,266,1,1,0,0,377.0465,524.1837,11807.8709
997633399,321,296,1,1,1,0,442.2028,747.2578,11906.3573
1737684753,283,281,1,1,0,0,376.2980,443.0126,11219.3007
125607226,294,274,1,1,0,0,337.2476,396.1884,11553.3172
370980573,283,278,1,1,0,0,393.4518,500.4079,10249.1474
1071395006,300,274,1,1,2,0,404.5641,568.1101,12107.6213
1711471659,279,270,1,1,0,0,228.2831,348.8063,8003.7085
902273373,314,294,1,1,0,0,219.4220,399.3974,8487.2194
2114491297,288,275,1,1,0,0,225.8327,346.8660,8072.5273
1085714994,293,285,1,1,0,0,224.6985,417.0276,7290.0442
653135655,292,274,1,1,0,0,226.9114,406.6983,8456.4910
426392364,287,272,1,1,0,0,223.8712,472.6374,7799.1200
1791441602,328,289,1,1,0,0,220.9801,350.3839,8037.1270
1678038082,282,273,1,1,0,0,220.0751,486.2742,8077.5096
1746839362,292,283,1,1,0,0,221.4442,359.3640,8468.3988
1467420220,302,288,1,1,0,0,225.6134,342.9573,8551.2095
1347499789,299,284,1,1,1,0,221.1782,471.2211,8031.4266
1844009866,296,287,1,1,0,0,221.3066,408.1216,7121.4494
964224227,288,272,1,1,0,0,222.3024,472.2199,7688.2352
1816820874,313,282,1,1,0,0,220.9166,584.3528,7888.6022
112280045,298,276,1,1,0,0,218.8569,472.1770,8598.5081
1636621137,320,300,1,1,1,0,223.3493,485.8549,8104.1886
1728268513,284,277,1,1,0,0,222.5637,425.0014,7923.1192
459530706,289,276,1,1,0,0,223.7093,533.7915,8450.7691
838465176,303,280,1,1,0,0,220.7649,471.4031,8527.1886
1793011860,277,272,1,1,0,0,228.7087,464.9881,8905.3368
1549995791,297,270,1,1,0,0,222.2129,465.8336,8832.0022
1997497355,282,280,1,1,0,0,222.6318,403.0390,8215.9600
1675177671,295,288,1,1,0,0,220.2581,350.2743,9172.0915
1124314649,302,294,1,1,0,0,222.3136,393.2132,7641.2706
740257885,306,285,1,1,0,0,225.5219,348.9730,9587.3689
2018238131,293,282,1,1,0,0,221.0953,408.9172,7351.7954
1653282017,275,264,1,1,0,0,218.4738,480.1388,8119.1401
594278381,309,291,1,1,0,0,221.3253,398.1438,8288.2184
971313653,290,288,1,1,0,0,219.9637,472.9182,7588.8344
1742174868,292,280,1,1,0,0,221.9156,345.3860,8378.7800
2118134355,300,286,1,1,0,0,220.9536,461.9374,8770.3036
1582160921,270,268,1,1,0,0,223.4073,531.1967,8081.2729
1398215895,296,273,1,1,0,0,218.5683,340.1943,8523.0467
699436866,312,288,1,1,0,0,221.9512,409.2039,7664.0423
856828466,322,286,1,1,1,0,219.8570,413.4381,8546.2830
2134786181,286,277,1,1,0,0,219.9614,414.3792,7551.3997
917850247,299,283,1,1,0,0,220.9266,416.2663,7272.9562
1213694020,315,296,1,1,2,0,219.8832,356.9752,8603.9761
2036375710,288,273,1,1,0,0,222.1419,367.4078,7401.2126
1903469492,281,279,1,1,0,0,221.3621,403.0054,7670.8968
1799501480,306,290,1,1,0,0,220.2810,525.8581,7231.6335
873805931,285,279,1,1,0,0,220.8223,500.4898,8326.4309
214864269,292,281,1,1,0,0,223.4864,483.7998,8155.4375
1521491519,307,288,1,1,1,0,219.3647,348.9940,7346.8646
601545119,283,274,1,1,0,0,226.0888,471.6533,7604.6117
2143090743,316,291,1,1,1,0,228.1142,437.4583,8108.0077
1344165696,300,287,1,1,0,0,220.9857,788.8026,7929.4700
1116425601,311,298,1,1,0,0,220.3354,480.1043,8297.5769
1987247879,300,279,1,1,0,0,220.5037,358.1303,8260.5699
1826455504,301,289,1,1,0,0,219.6966,340.0446,8056.9939
868505568,279,270,1,1,0,0,224.7196,395.4858,7519.1723
725777596,293,281,1,1,0,0,221.5839,488.0233,7552.4234
1976356552,311,287,1,1,0,0,224.7371,334.3624,7375.5970
1325473251,313,297,1,1,1,0,217.8442,467.0379,8743.4682
1117546280,287,276,1,1,0,0,226.2686,347.2786,8017.4527
1702328081,303,282,1,1,0,0,221.3588,407.6018,7205.9341
1839001939,289,275,1,1,0,0,235.1984,343.4354,8326.4590
1743730017,297,276,1,1,0,0,219.8249,412.8758,9376.8473
986863757,283,269,1,1,0,0,214.9172,354.2288,8099.0314
1482196979,291,279,1,1,0,0,220.4471,537.2432,7189.3162
549319355,311,297,1,1,0,0,219.6128,353.1231,8187.4632
2049291930,301,283,1,1,0,0,226.0149,404.6519,7908.6728
593231028,286,286,1,1,0,0,222.5231,591.4381,8573.4180
12847945,283,265,1,1,0,0,224.1116,426.8825,7346.8905
590496808,306,283,1,1,2,0,220.2209,485.6231,9227.5712
1862716714,325,284,1,1,0,0,222.8922,408.7177,8665.1886
191512682,286,273,1,1,0,0,220.2928,361.8119,7637.6714
1850872579,304,281,1,1,0,0,219.7786,407.3704,8667.8625
1391524050,313,294,3,1,0,0,219.4415,97092.0184,8167.5081
712223826,312,283,1,1,1,1,222.3360,416.9960,7688.8745
1713148210,337,293,1,1,0,0,224.3827,496.1767,7451.9359
1790541552,272,268,1,1,1,0,219.5253,477.5479,7361.3909
1099595713,306,286,1,1,0,0,227.8906,542.3970,6989.1891
462177874,322,294,1,1,0,0,224.6575,354.7769,8926.6190
881580220,301,295,1,1,0,0,244.5269,383.7830,9211.8295
1387175565,295,281,1,1,0,0,250.6919,508.5381,8345.7554
1038312863,315,286,1,1,0,0,249.0813,508.3644,8352.6467
956657768,284,269,1,1,0,0,237.0207,383.4254,8524.5934
593433248,309,289,1,1,1,0,238.5262,459.0786,9083.7921
840532200,313,290,2,1,0,0,237.3290,336331.8707,9241.9374
1217824235,299,288,1,1,0,0,243.9198,501.2700,8254.6691
677706738,285,280,1,1,0,0,236.5834,428.4237,9301.1974
1554054659,307,294,1,1,0,0,235.9899,512.1627,8753.8355
874752049,296,271,1,1,1,0,249.0390,553.6491,9821.4076
1634095142,299,292,1,1,0,0,256.4307,454.0383,9570.7133
1379091327,296,277,1,1,2,0,243.4929,463.1512,8077.9231
1933102014,279,266,1,1,0,0,236.4181,367.1319,8654.8648
1174503985,283,279,1,1,0,0,244.2847,499.8682,8333.8756
2131166388,317,284,1,1,0,0,237.7767,389.2201,9435.5793
1041200886,286,259,1,1,0,0,239.1097,505.8940,8778.1318
1572917119,297,280,1,1,0,0,238.4464,509.6324,7943.0661
749641776,300,285,1,1,0,0,238.6137,515.9555,8804.3121
943067811,306,298,1,1,0,0,237.4423,643.4435,8921.2275
1348241763,293,273,1,1,0,1,243.0474,454.5167,8829.4562
1317824248,298,278,1,1,0,0,244.7033,370.4847,8092.8142
1284618541,300,293,1,1,0,0,238.3455,451.9197,7512.9120
230905401,290,269,1,1,0,0,237.9413,442.5977,10268.3150
1820364393,322,292,1,1,3,0,238.5248,420.0789,9097.6078
1609757449,273,265,1,1,0,0,236.6659,566.1061,7858.8322
822386695,307,280,1,1,1,0,237.9715,377.1857,8181.4678
1849780878,292,281,1,1,0,0,239.7271,511.5689,8865.6081
