epoch,train_loss,val_loss,train_ce,val_ce,train_minsum,val_minsum,train_pergoal_acc,val_pergoal_acc
1,1.0521,0.8686,1.0454,0.8621,0.0666,0.0649,0.653,0.695
2,0.7863,0.7372,0.7797,0.7306,0.0661,0.0660,0.718,0.730
3,0.7143,0.6805,0.7077,0.6740,0.0661,0.0650,0.737,0.744
4,0.6738,0.6548,0.6672,0.6482,0.0661,0.0658,0.747,0.752
5,0.6460,0.6363,0.6394,0.6298,0.0661,0.0643,0.754,0.756
6,0.6238,0.6062,0.6172,0.5996,0.0661,0.0662,0.760,0.764
7,0.6080,0.5941,0.6013,0.5875,0.0662,0.0659,0.764,0.767
8,0.5961,0.5837,0.5895,0.5771,0.0662,0.0659,0.768,0.770
9,0.5871,0.5820,0.5805,0.5754,0.0662,0.0653,0.770,0.770
10,0.5787,0.5727,0.5721,0.5661,0.0662,0.0663,0.772,0.773
11,0.5715,0.5690,0.5649,0.5624,0.0662,0.0663,0.774,0.774
12,0.5660,0.5631,0.5594,0.5565,0.0662,0.0664,0.776,0.775
13,0.5616,0.5563,0.5550,0.5496,0.0662,0.0669,0.777,0.777
14,0.5568,0.5582,0.5502,0.5515,0.0662,0.0663,0.778,0.776
15,0.5530,0.5509,0.5464,0.5442,0.0662,0.0672,0.779,0.778
16,0.5487,0.5456,0.5421,0.5390,0.0662,0.0660,0.781,0.780
17,0.5460,0.5427,0.5394,0.5361,0.0662,0.0652,0.781,0.781
18,0.5452,0.5447,0.5385,0.5380,0.0662,0.0670,0.782,0.780
19,0.5422,0.5381,0.5356,0.5316,0.0662,0.0656,0.782,0.782
20,0.5389,0.5369,0.5322,0.5303,0.0662,0.0656,0.783,0.782
21,0.5365,0.5339,0.5299,0.5273,0.0662,0.0659,0.784,0.784
22,0.5346,0.5343,0.5280,0.5275,0.0662,0.0673,0.784,0.783
23,0.5330,0.5359,0.5264,0.5294,0.0662,0.0649,0.785,0.783
24,0.5312,0.5288,0.5246,0.5220,0.0662,0.0671,0.785,0.785
25,0.5289,0.5382,0.5223,0.5315,0.0662,0.0667,0.786,0.783
26,0.5269,0.5291,0.5203,0.5224,0.0662,0.0666,0.787,0.784
27,0.5246,0.5264,0.5180,0.5197,0.0662,0.0661,0.787,0.786
28,0.5232,0.5330,0.5166,0.5264,0.0662,0.0667,0.788,0.784
29,0.5214,0.5315,0.5148,0.5248,0.0662,0.0675,0.788,0.784
30,0.5201,0.5210,0.5135,0.5143,0.0662,0.0665,0.788,0.787
31,0.5180,0.5173,0.5114,0.5106,0.0662,0.0672,0.789,0.788
32,0.5169,0.5254,0.5103,0.5187,0.0662,0.0673,0.789,0.786
33,0.5155,0.5220,0.5089,0.5155,0.0662,0.0653,0.790,0.787
34,0.5147,0.5177,0.5081,0.5111,0.0662,0.0664,0.790,0.788
35,0.5132,0.5154,0.5066,0.5088,0.0662,0.0654,0.790,0.789
36,0.5125,0.5247,0.5059,0.5181,0.0662,0.0659,0.791,0.787
37,0.5114,0.5173,0.5048,0.5108,0.0662,0.0654,0.791,0.788
38,0.5098,0.5189,0.5031,0.5123,0.0662,0.0665,0.791,0.788
39,0.5092,0.5179,0.5026,0.5113,0.0662,0.0655,0.792,0.788
40,0.5094,0.5150,0.5028,0.5083,0.0662,0.0670,0.791,0.788
41,0.5063,0.5167,0.4997,0.5100,0.0662,0.0669,0.792,0.788
42,0.5045,0.5140,0.4978,0.5075,0.0662,0.0652,0.793,0.789
43,0.5029,0.5124,0.4963,0.5058,0.0662,0.0659,0.793,0.789
44,0.5030,0.5133,0.4964,0.5068,0.0662,0.0657,0.793,0.788
45,0.5009,0.5097,0.4943,0.5031,0.0662,0.0662,0.794,0.790
46,0.5000,0.5128,0.4933,0.5063,0.0662,0.0651,0.794,0.789
47,0.4986,0.5153,0.4920,0.5086,0.0662,0.0673,0.795,0.788
48,0.4980,0.5040,0.4914,0.4974,0.0662,0.0660,0.795,0.792
49,0.4973,0.5063,0.4907,0.4996,0.0662,0.0668,0.795,0.790
50,0.4957,0.5062,0.4891,0.4996,0.0662,0.0657,0.795,0.791
