epoch,train_loss,val_loss,train_ce,val_ce,train_minsum,val_minsum,train_pergoal_acc,val_pergoal_acc
1,0.5137,0.4390,0.5059,0.4311,0.0777,0.0796,0.807,0.826
2,0.4077,0.3877,0.4000,0.3801,0.0774,0.0766,0.837,0.842
3,0.3812,0.3728,0.3734,0.3652,0.0774,0.0767,0.845,0.846
4,0.3662,0.3622,0.3585,0.3545,0.0774,0.0769,0.850,0.850
5,0.3555,0.3521,0.3478,0.3443,0.0774,0.0783,0.853,0.852
6,0.3473,0.3459,0.3395,0.3383,0.0774,0.0757,0.855,0.855
7,0.3413,0.3359,0.3335,0.3282,0.0774,0.0772,0.857,0.858
8,0.3360,0.3314,0.3282,0.3237,0.0774,0.0768,0.859,0.859
9,0.3316,0.3355,0.3239,0.3279,0.0774,0.0760,0.860,0.858
10,0.3276,0.3312,0.3199,0.3235,0.0774,0.0764,0.861,0.860
11,0.3244,0.3266,0.3167,0.3189,0.0774,0.0771,0.862,0.861
12,0.3213,0.3190,0.3136,0.3113,0.0774,0.0776,0.863,0.863
13,0.3184,0.3221,0.3107,0.3145,0.0774,0.0763,0.864,0.863
14,0.3158,0.3224,0.3080,0.3147,0.0774,0.0775,0.865,0.862
15,0.3135,0.3173,0.3058,0.3097,0.0774,0.0762,0.866,0.863
16,0.3115,0.3165,0.3038,0.3088,0.0774,0.0775,0.866,0.864
17,0.3091,0.3136,0.3014,0.3059,0.0774,0.0767,0.867,0.865
18,0.3071,0.3189,0.2994,0.3111,0.0774,0.0775,0.868,0.863
19,0.3054,0.3131,0.2977,0.3055,0.0774,0.0762,0.868,0.865
20,0.3032,0.3123,0.2955,0.3046,0.0774,0.0768,0.869,0.865
21,0.3015,0.3124,0.2937,0.3046,0.0774,0.0776,0.870,0.865
22,0.2999,0.3146,0.2922,0.3070,0.0774,0.0764,0.870,0.865
23,0.2982,0.3135,0.2905,0.3058,0.0774,0.0770,0.871,0.865
24,0.2966,0.3105,0.2888,0.3027,0.0774,0.0781,0.871,0.866
25,0.2948,0.3089,0.2871,0.3013,0.0774,0.0770,0.872,0.866
26,0.2935,0.3092,0.2858,0.3015,0.0774,0.0774,0.872,0.866
27,0.2917,0.3095,0.2840,0.3018,0.0774,0.0770,0.873,0.866
28,0.2906,0.3089,0.2828,0.3012,0.0774,0.0769,0.873,0.866
29,0.2889,0.3081,0.2812,0.3005,0.0774,0.0767,0.874,0.867
30,0.2875,0.3117,0.2798,0.3040,0.0774,0.0767,0.875,0.866
31,0.2862,0.3103,0.2784,0.3026,0.0774,0.0770,0.875,0.866
32,0.2849,0.3107,0.2771,0.3030,0.0774,0.0772,0.876,0.866
33,0.2834,0.3088,0.2757,0.3011,0.0774,0.0773,0.876,0.866
34,0.2823,0.3090,0.2746,0.3012,0.0774,0.0773,0.877,0.867
35,0.2806,0.3104,0.2729,0.3027,0.0774,0.0769,0.877,0.867
36,0.2795,0.3108,0.2718,0.3031,0.0774,0.0771,0.878,0.866
37,0.2782,0.3096,0.2704,0.3019,0.0774,0.0765,0.878,0.867
38,0.2768,0.3103,0.2690,0.3027,0.0774,0.0763,0.879,0.867
39,0.2758,0.3095,0.2681,0.3018,0.0774,0.0772,0.879,0.867
40,0.2745,0.3095,0.2667,0.3019,0.0774,0.0767,0.879,0.867
41,0.2595,0.3114,0.2518,0.3037,0.0774,0.0765,0.885,0.869
42,0.2556,0.3169,0.2479,0.3093,0.0774,0.0767,0.887,0.868
43,0.2534,0.3184,0.2457,0.3107,0.0774,0.0770,0.888,0.868
44,0.2515,0.3254,0.2438,0.3177,0.0774,0.0770,0.888,0.867
45,0.2499,0.3207,0.2422,0.3131,0.0774,0.0763,0.889,0.868
46,0.2484,0.3255,0.2406,0.3178,0.0774,0.0769,0.890,0.866
47,0.2473,0.3246,0.2395,0.3169,0.0774,0.0770,0.890,0.867
48,0.2457,0.3292,0.2379,0.3215,0.0774,0.0768,0.891,0.867
49,0.2445,0.3291,0.2367,0.3214,0.0774,0.0769,0.891,0.867
50,0.2433,0.3329,0.2356,0.3252,0.0774,0.0771,0.892,0.866
