epoch,train_loss,val_loss,train_ce,val_ce,train_minsum,val_minsum,train_pergoal_acc,val_pergoal_acc
1,0.9967,0.8157,0.9896,0.8084,0.0707,0.0733,0.672,0.713
2,0.7742,0.7272,0.7671,0.7200,0.0703,0.0720,0.726,0.734
3,0.7199,0.6897,0.7128,0.6826,0.0703,0.0711,0.740,0.745
4,0.6862,0.6607,0.6792,0.6537,0.0703,0.0697,0.750,0.753
5,0.6619,0.6455,0.6548,0.6385,0.0704,0.0697,0.756,0.757
6,0.6410,0.6347,0.6339,0.6273,0.0704,0.0736,0.762,0.762
7,0.6265,0.6043,0.6195,0.5974,0.0704,0.0696,0.766,0.768
8,0.6146,0.5971,0.6075,0.5902,0.0704,0.0694,0.769,0.771
9,0.6057,0.5934,0.5986,0.5866,0.0704,0.0678,0.772,0.772
10,0.5976,0.5811,0.5905,0.5740,0.0704,0.0706,0.774,0.774
11,0.5905,0.5771,0.5834,0.5699,0.0704,0.0711,0.776,0.776
12,0.5845,0.5749,0.5774,0.5679,0.0704,0.0699,0.778,0.776
13,0.5793,0.5709,0.5723,0.5639,0.0704,0.0694,0.779,0.778
14,0.5742,0.5656,0.5672,0.5587,0.0704,0.0696,0.781,0.779
15,0.5701,0.5646,0.5631,0.5576,0.0704,0.0699,0.782,0.779
16,0.5661,0.5572,0.5591,0.5501,0.0704,0.0713,0.783,0.781
17,0.5621,0.5670,0.5550,0.5601,0.0704,0.0687,0.784,0.780
18,0.5591,0.5544,0.5520,0.5472,0.0704,0.0720,0.785,0.783
19,0.5551,0.5494,0.5480,0.5424,0.0704,0.0697,0.786,0.784
20,0.5524,0.5458,0.5454,0.5388,0.0704,0.0709,0.787,0.784
21,0.5497,0.5503,0.5426,0.5433,0.0704,0.0702,0.788,0.783
22,0.5473,0.5464,0.5403,0.5393,0.0704,0.0702,0.788,0.785
23,0.5445,0.5444,0.5375,0.5373,0.0704,0.0706,0.789,0.785
24,0.5424,0.5438,0.5353,0.5366,0.0704,0.0712,0.789,0.785
25,0.5400,0.5401,0.5330,0.5330,0.0704,0.0709,0.790,0.786
26,0.5377,0.5356,0.5307,0.5286,0.0704,0.0703,0.791,0.788
27,0.5359,0.5405,0.5288,0.5333,0.0704,0.0723,0.792,0.786
28,0.5344,0.5444,0.5274,0.5372,0.0704,0.0715,0.792,0.787
29,0.5332,0.5371,0.5261,0.5300,0.0704,0.0712,0.792,0.787
30,0.5308,0.5332,0.5237,0.5261,0.0703,0.0702,0.793,0.788
31,0.5288,0.5424,0.5218,0.5353,0.0704,0.0717,0.793,0.786
32,0.5274,0.5333,0.5204,0.5262,0.0704,0.0707,0.794,0.788
33,0.5253,0.5298,0.5183,0.5228,0.0704,0.0697,0.794,0.789
34,0.5241,0.5326,0.5170,0.5256,0.0703,0.0694,0.795,0.789
35,0.5226,0.5294,0.5155,0.5223,0.0703,0.0711,0.795,0.789
36,0.5214,0.5289,0.5144,0.5218,0.0704,0.0703,0.796,0.790
37,0.5196,0.5299,0.5126,0.5228,0.0703,0.0704,0.796,0.790
38,0.5183,0.5300,0.5113,0.5230,0.0703,0.0705,0.797,0.789
39,0.5172,0.5248,0.5102,0.5178,0.0703,0.0697,0.797,0.791
40,0.5155,0.5265,0.5085,0.5194,0.0703,0.0714,0.797,0.790
41,0.5147,0.5278,0.5077,0.5209,0.0703,0.0698,0.798,0.790
42,0.5128,0.5337,0.5057,0.5268,0.0703,0.0698,0.798,0.789
43,0.5117,0.5234,0.5047,0.5164,0.0703,0.0700,0.798,0.791
44,0.5103,0.5310,0.5033,0.5238,0.0703,0.0715,0.799,0.789
45,0.5114,0.5282,0.5044,0.5212,0.0703,0.0702,0.799,0.790
46,0.5084,0.5251,0.5013,0.5181,0.0703,0.0707,0.799,0.790
47,0.5080,0.5346,0.5009,0.5274,0.0703,0.0721,0.800,0.790
48,0.5056,0.5321,0.4986,0.5250,0.0703,0.0710,0.800,0.790
49,0.5053,0.5276,0.4983,0.5206,0.0703,0.0707,0.800,0.791
50,0.5036,0.5307,0.4966,0.5236,0.0703,0.0714,0.801,0.790
