epoch,train_loss,val_loss,train_ce,val_ce,train_minsum,val_minsum,train_pergoal_acc,val_pergoal_acc
1,0.8300,0.6629,0.8226,0.6557,0.0737,0.0720,0.724,0.759
2,0.6312,0.5848,0.6239,0.5773,0.0734,0.0748,0.772,0.782
3,0.5717,0.5443,0.5643,0.5371,0.0734,0.0723,0.789,0.793
4,0.5441,0.5177,0.5368,0.5104,0.0734,0.0735,0.796,0.800
5,0.5263,0.5103,0.5189,0.5027,0.0734,0.0755,0.801,0.803
6,0.5136,0.4995,0.5062,0.4922,0.0734,0.0726,0.805,0.805
7,0.5032,0.4901,0.4959,0.4828,0.0734,0.0725,0.808,0.808
8,0.4946,0.4810,0.4873,0.4736,0.0734,0.0739,0.810,0.811
9,0.4876,0.4754,0.4803,0.4679,0.0734,0.0744,0.812,0.812
10,0.4811,0.4661,0.4738,0.4588,0.0734,0.0731,0.814,0.815
11,0.4757,0.4575,0.4683,0.4503,0.0734,0.0722,0.816,0.817
12,0.4707,0.4632,0.4634,0.4560,0.0734,0.0727,0.817,0.816
13,0.4661,0.4549,0.4588,0.4476,0.0734,0.0737,0.818,0.818
14,0.4622,0.4546,0.4548,0.4472,0.0734,0.0735,0.819,0.818
15,0.4587,0.4527,0.4514,0.4452,0.0734,0.0743,0.820,0.819
16,0.4549,0.4515,0.4476,0.4440,0.0734,0.0750,0.822,0.820
17,0.4517,0.4525,0.4444,0.4451,0.0734,0.0742,0.822,0.818
18,0.4490,0.4470,0.4417,0.4396,0.0734,0.0746,0.823,0.821
19,0.4459,0.4402,0.4386,0.4329,0.0734,0.0734,0.824,0.823
20,0.4434,0.4421,0.4361,0.4347,0.0734,0.0741,0.825,0.822
21,0.4407,0.4419,0.4333,0.4345,0.0734,0.0742,0.826,0.822
22,0.4385,0.4326,0.4312,0.4253,0.0734,0.0729,0.826,0.824
23,0.4361,0.4403,0.4288,0.4331,0.0734,0.0725,0.827,0.823
24,0.4337,0.4376,0.4264,0.4303,0.0734,0.0730,0.828,0.823
25,0.4317,0.4348,0.4244,0.4274,0.0734,0.0740,0.828,0.824
26,0.4295,0.4343,0.4221,0.4269,0.0734,0.0736,0.829,0.825
27,0.4274,0.4303,0.4200,0.4230,0.0734,0.0727,0.830,0.826
28,0.4259,0.4338,0.4185,0.4264,0.0734,0.0735,0.830,0.825
29,0.4238,0.4294,0.4164,0.4221,0.0734,0.0730,0.831,0.826
30,0.4217,0.4342,0.4144,0.4269,0.0734,0.0731,0.832,0.825
31,0.4202,0.4321,0.4128,0.4248,0.0734,0.0729,0.832,0.826
32,0.4182,0.4292,0.4109,0.4219,0.0734,0.0732,0.833,0.826
33,0.4165,0.4274,0.4092,0.4201,0.0734,0.0729,0.833,0.827
34,0.4151,0.4286,0.4078,0.4213,0.0734,0.0736,0.834,0.826
35,0.4133,0.4292,0.4059,0.4219,0.0734,0.0734,0.834,0.826
36,0.4119,0.4281,0.4046,0.4208,0.0734,0.0734,0.835,0.826
37,0.4102,0.4308,0.4028,0.4235,0.0734,0.0736,0.835,0.826
38,0.4086,0.4274,0.4013,0.4201,0.0734,0.0725,0.836,0.827
39,0.4072,0.4277,0.3999,0.4203,0.0734,0.0739,0.836,0.827
40,0.4055,0.4274,0.3981,0.4200,0.0734,0.0737,0.837,0.826
41,0.4042,0.4272,0.3969,0.4199,0.0734,0.0729,0.837,0.827
42,0.4024,0.4274,0.3951,0.4201,0.0734,0.0732,0.838,0.826
43,0.4013,0.4298,0.3940,0.4225,0.0734,0.0726,0.838,0.827
44,0.3997,0.4284,0.3924,0.4210,0.0733,0.0734,0.838,0.826
45,0.3980,0.4286,0.3906,0.4213,0.0733,0.0725,0.839,0.827
46,0.3967,0.4310,0.3894,0.4238,0.0733,0.0725,0.839,0.826
47,0.3950,0.4291,0.3877,0.4218,0.0733,0.0727,0.840,0.827
48,0.3936,0.4283,0.3862,0.4210,0.0733,0.0727,0.840,0.827
49,0.3920,0.4283,0.3846,0.4210,0.0733,0.0738,0.840,0.826
50,0.3901,0.4369,0.3828,0.4296,0.0733,0.0727,0.841,0.826
